유형 중분류명,유형 소분류명,중분류 검색건 수,중분류 검색건 수(비율),소분류 검색건 수,소분류 검색건 수(비율)
기타관광,교통시설,65560,13.1,36638,55.9
기타관광,기타관광,65560,13.1,28922,44.1
레저스포츠,기타레저스포츠,100532,20.1,1350,1.3
레저스포츠,육상레저스포츠,100532,20.1,99075,98.6
레저스포츠,수상레저스포츠,100532,20.1,107,0.1
문화관광,도시/지역문화관광,46606,9.3,19,0.0
문화관광,도시공원,46606,9.3,17827,38.3
문화관광,랜드마크관광,46606,9.3,1701,3.6
문화관광,복합관광시설,46606,9.3,81,0.2
문화관광,레저스포츠시설,46606,9.3,4826,10.4
문화관광,테마공원,46606,9.3,4006,8.6
문화관광,공연시설,46606,9.3,5757,12.4
문화관광,기타문화관광지,46606,9.3,654,1.4
문화관광,전시시설,46606,9.3,11735,25.2
쇼핑,시장,30769,6.2,30769,100.0
숙박,모텔,47496,9.5,16539,34.8
숙박,펜션/민박,47496,9.5,3480,7.3
숙박,호텔,47496,9.5,1828,3.8
숙박,기타숙박,47496,9.5,72,0.2
숙박,캠핑,47496,9.5,25577,53.9
역사관광,역사유물,70199,14.1,63,0.1
역사관광,역사유적지,70199,14.1,17845,25.4
역사관광,종교성지,70199,14.1,52291,74.5
음식,간이음식,114821,23.0,15458,13.5
음식,외국식,114821,23.0,2872,2.5
음식,전문음식,114821,23.0,7275,6.3
음식,한식,114821,23.0,70741,61.6
음식,음식점기타,114821,23.0,499,0.4
음식,카페/찻집,114821,23.0,17976,15.7
자연관광,자연경관(산),19769,4.0,4193,21.2
자연관광,자연경관(하천/해양),19769,4.0,7166,36.2
자연관광,자연공원,19769,4.0,8410,42.5
체험관광,농/산/어촌체험,3608,0.7,1885,52.2
체험관광,웰니스관광,3608,0.7,1711,47.4
체험관광,공예체험,3608,0.7,12,0.3
