방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,3.3,3.0
60~69세,10.8,6.5
50~59세,14.8,9.7
40~49세,10.6,6.3
30~39세,8.8,5.7
20~29세,8.8,6.3
10~19세,2.3,1.9
0~9세,0.5,0.5
