기준연월,목적지 유형,목적지 검색량
202204,전체,45728
202207,전체,44293
202202,전체,28083
202206,전체,43083
202208,전체,49256
202201,전체,27501
202203,전체,29660
202211,전체,44299
202209,전체,45437
202210,전체,59367
202212,전체,31601
202205,전체,51052
202204,숙박,4938
202204,음식,9708
202204,기타관광,5404
202204,쇼핑,2268
202204,문화관광,5156
202204,역사관광,6066
202204,자연관광,1969
202204,체험관광,346
202204,레저스포츠,9873
202207,숙박,5013
202207,음식,10931
202207,기타관광,4968
202207,쇼핑,2503
202207,문화관광,3758
202207,역사관광,4721
202207,자연관광,2707
202207,체험관광,295
202207,레저스포츠,9397
202202,숙박,2206
202202,음식,6259
202202,기타관광,4348
202202,문화관광,2107
202202,쇼핑,1821
202202,역사관광,4623
202202,자연관광,1012
202202,체험관광,417
202202,레저스포츠,5290
202206,숙박,4338
202206,음식,10149
202206,기타관광,5260
202206,쇼핑,2366
202206,문화관광,4182
202206,역사관광,4991
202206,자연관광,1778
202206,체험관광,269
202206,레저스포츠,9750
202208,숙박,5389
202208,음식,12486
202208,기타관광,5678
202208,문화관광,4992
202208,쇼핑,3176
202208,역사관광,5589
202208,자연관광,2612
202208,체험관광,243
202208,레저스포츠,9091
202201,숙박,1948
202201,음식,5800
202201,기타관광,4724
202201,쇼핑,2524
202201,문화관광,1954
202201,역사관광,4635
202201,자연관광,1353
202201,체험관광,303
202201,레저스포츠,4260
202203,숙박,1967
202203,음식,6362
202203,기타관광,4272
202203,쇼핑,1891
202203,문화관광,2446
202203,역사관광,3848
202203,자연관광,965
202203,체험관광,298
202203,레저스포츠,7611
202211,숙박,4113
202211,음식,9872
202211,기타관광,5900
202211,쇼핑,2841
202211,문화관광,3555
202211,역사관광,7169
202211,자연관광,1169
202211,체험관광,206
202211,레저스포츠,9474
202209,숙박,3875
202209,음식,9668
202209,기타관광,6045
202209,문화관광,4223
202209,쇼핑,3109
202209,역사관광,7390
202209,자연관광,1645
202209,체험관광,339
202209,레저스포츠,9143
202210,숙박,6089
202210,음식,12797
202210,기타관광,7767
202210,쇼핑,3515
202210,문화관광,7234
202210,역사관광,9150
202210,자연관광,1707
202210,체험관광,239
202210,레저스포츠,10869
202212,숙박,3158
202212,음식,9187
202212,기타관광,4738
202212,쇼핑,2200
202212,문화관광,2141
202212,역사관광,3572
202212,자연관광,823
202212,체험관광,322
202212,레저스포츠,5460
202205,숙박,4462
202205,음식,11602
202205,기타관광,6456
202205,쇼핑,2555
202205,문화관광,4858
202205,역사관광,8445
202205,자연관광,2029
202205,체험관광,331
202205,레저스포츠,10314
