국가명,비율(%)
기타,24.91
태국,17.85
인도네시아,17.59
베트남,8.69
중국,8.56
미국,4.59
카자흐스탄,2.97
일본,2.77
필리핀,1.89
프랑스,1.76
독일,1.48
오스트레일리아,1.4
러시아,1.09
인도,0.75
캐나다,0.7
싱가포르,0.59
말레이시아,0.57
영국,0.51
몽골,0.51
홍콩,0.45
대만,0.14
터키,0.1
아랍에미리트,0.07
멕시코,0.06
