거리구분명,방문자수,방문자비율
30km 미만,2713614.0,24.07
30km 이상 70km 미만,5722436.0,50.76
70km 이상 140km 미만 ,1199071.0,10.64
140km 이상 190km 미만,353501.0,3.14
190km 이상 240km 미만,438279.0,3.89
240km 이상 ,845975.0,7.5
