방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,3.6,3.1
60~69세,11.4,7.1
50~59세,14.4,9.7
40~49세,10.4,6.2
30~39세,8.8,5.6
20~29세,8.5,6.2
10~19세,2.3,1.9
0~9세,0.5,0.5
