기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,1166718.0,0.0,
202302,934367.0,0.0,
202303,1093995.0,0.0,
202304,1052754.0,0.0,
202305,1197640.0,0.0,
202306,1099829.0,0.0,
202307,1057021.0,0.0,
202308,1086144.0,0.0,
202309,1431871.0,0.0,
202310,1251922.0,0.0,
202311,985659.0,0.0,
202312,934832.0,0.0,
