구분명,행사명,행사내용,장소명,담당부서명,행사시작일자,행사종료일자,데이터기준일자
행사,산골마을 작은 음악회,전통악기 및 민요 등 공연,채약서당(대창면 용전리),문화예술과,2019-05-18,2019-05-18,2022-11-28
행사,「오월愛 어울림콘서트」,콘서트,시민회관 스타홀,문화예술과,2019-05-18,2019-05-18,2022-11-28
행사,3사관학교와 영천시민이 함께하는 한마음 콘서트,연예병사와 3사 군악대 등 민군 합동공연,강변공원 야외공연장,문화예술과,2019-05-19,2019-05-19,2022-11-28
행사,영천관광 전국사진공모전 입상작 전시,호국보훈의 달 영천관광 전국사진공모전 입상작 전시,국립영천호국원 내,관광진흥과,2019-05-20,2019-06-13,2022-11-28
기타,어린이 안전인형극 및 안전퀴즈 교육,어린이 안전인형극 및 안전퀴즈 교육,시립도서관 지산홀,평생학습관,2019-05-22,2019-05-22,2022-11-28
축제,호국나이트투어(1회) 실시,입퇴소식,3사관학교 일원,관광진흥과,2019-05-22,2019-05-24,2022-11-28
축제,호국나이트투어(1회) 실시,제식훈련,3사관학교 일원,관광진흥과,2019-05-22,2019-05-24,2022-11-28
축제,호국나이트투어(1회) 실시,군사훈련 체험,3사관학교 일원,관광진흥과,2019-05-22,2019-05-24,2022-11-28
축제,호국나이트투어(1회) 실시,작은 음악회(군악대 공연),3사관학교 일원,관광진흥과,2019-05-22,2019-05-24,2022-11-28
축제,호국나이트투어(1회) 실시,별자리 강의,3사관학교 일원,관광진흥과,2019-05-22,2019-05-24,2022-11-28
축제,호국나이트투어(1회) 실시,국립호국원 참배,3사관학교 일원,관광진흥과,2019-05-22,2019-05-24,2022-11-28
축제,호국나이트투어(1회) 실시,영천전투메모리얼파크 추모권 관람,3사관학교 일원,관광진흥과,2019-05-22,2019-05-24,2022-11-28
행사,영천 채용한마당 개최,현장 채용면접,영천상공회의소,일자리노사과,2019-05-23,2019-05-23,2022-11-28
행사,영천 채용한마당 개최,기업홍보,영천상공회의소,일자리노사과,2019-05-23,2019-05-23,2022-11-28
행사,영천향교 기로연,향교전통문화전승보전을 위한 기로연 행사,영천향교 명륜당,문화예술과,2019-05-23,2019-05-23,2022-11-28
행사,"“행복영천 시민, 천원의 행복”",영화 「사바하」 상영,시민회관 스타홀,문화예술과,2019-05-24,2019-05-25,2022-11-28
행사,공공형어린이집 오픈데이,‘물은 생명이다’동영상 강의,영천문화원,가족행복과,2019-05-25,2019-05-25,2022-11-28
행사,공공형어린이집 오픈데이,EM 사용법 강의 및 발효액 만들기 시범,영천문화원,가족행복과,2019-05-25,2019-05-25,2022-11-28
행사,공공형어린이집 오픈데이,흙공 만들기,영천문화원,가족행복과,2019-05-25,2019-05-25,2022-11-28
행사,공공형어린이집 오픈데이,‘물은 생명이다’동영상 강의,음악분수대,가족행복과,2019-05-25,2019-05-25,2022-11-28
행사,공공형어린이집 오픈데이,EM 사용법 강의 및 발효액 만들기 시범,음악분수대,가족행복과,2019-05-25,2019-05-25,2022-11-28
행사,공공형어린이집 오픈데이,흙공 만들기,음악분수대,가족행복과,2019-05-25,2019-05-25,2022-11-28
축제,제1회 시장배 전국댄스스포츠 대회,전국댄스스포츠 대회,영천체육관,새마을체육과,2019-05-26,2019-05-26,2022-11-28
행사,골프협회장배 골프대회,골프대회,영천 오펠골프클럽,새마을체육과,2019-05-27,2019-05-27,2022-11-28
행사,"농민회, 풍년농사 기원제 및 손모심기 시연",풍년 기원 및 화합 행사,고경면 용전리 1378-2번지,농업정책과,2019-05-28,2019-05-28,2022-11-28
행사,척수장애인협회 개소식 및 재활증진 대회,척수장애인협회 개소식 및 재활증진 대회,영천시장애인회관 2층(척수사무실),사회복지과,2019-05-28,2019-05-28,2022-11-28
축제,2019 나도 작가전 이동 전시회,미술 작품 전시,영천 별빛야시장(영천공설시장 중앙통로),일자리노사과,2019-05-30,2019-05-31,2022-11-28
축제,동화 속 주인공이,어린이들을 위한 무용공연,중앙초등학교 대강당,문화예술과,2019-05-31,2019-05-31,2022-11-28
기타,최태자 도자기 개인展,생활자기 및 차 도구 전시,영천예술창작스튜디오 1전시실,문화예술과,2019-05-31,2019-06-04,2022-11-28
기타,최태자 도자기 개인展,생활자기 및 차 도구 전시,영천예술창작스튜디오 2전시실,문화예술과,2019-05-31,2019-06-04,2022-11-28
행사,아(이와)나(무와)아(빠와),아빠와 자녀간의 공감대 형성,목재문화체험장,인구교육과,2019-06-01,2019-06-01,2022-11-28
행사,아(이와)나(무와)아(빠와),육아독박 극복 및 사회적 인식 제고,목재문화체험장,인구교육과,2019-06-01,2019-06-01,2022-11-28
축제,별빛어린이 바둑대회,바둑대회,영천체육관,새마을체육과,2019-06-02,2019-06-02,2022-11-28
행사,‘사뿐사뿐 나비처럼’개강식,한국무용 교육프로그램(심화반) 개강 및 안내 ,시민회관 리허설실,문화예술과,2019-06-03,2019-06-03,2022-11-28
기타,와인학교 소믈리에 양성과정 교육,와인 테이스팅 이론과 실습,농업기술센터 와인학교 2층,기술지원과,2019-06-04,2019-06-04,2022-11-28
행사,여성새로일하기센터 기업체 워크숍 개최,노무 및 근로기준법 강의,교육문화센터 회의실,기업유치과,2019-06-05,2019-06-05,2022-11-28
행사,제64회 현충일 추념행사,헌화분향,충혼탑(교촌동),복지정책과,2019-06-06,2019-06-06,2022-11-28
행사,제64회 현충일 추념행사,국민의례,충혼탑(교촌동),복지정책과,2019-06-06,2019-06-06,2022-11-28
행사,제64회 현충일 추념행사,추념사,충혼탑(교촌동),복지정책과,2019-06-06,2019-06-06,2022-11-28
축제,"“행복영천 시민, 천원의 행복”",영화 「걸캅스」 상영,시민회관 스타홀,문화예술과,2019-06-07,2019-06-08,2022-11-28
축제,영천시협회장기 탁구대회,탁구대회,영천생활체육관,새마을체육과,2019-06-08,2019-06-08,2022-11-28
축제,영천시협회장기 축구대회,축구대회,강변체육공원 단포축구장,새마을체육과,2019-06-09,2019-06-09,2022-11-28
기타,농민수당관련 농업인단체 설명회 개최,농민수당 관련 설명회,농업기술센터 별관 2층 강당,농업정책과,2019-06-10,2019-06-10,2022-11-28
행사,제14회한국사진작가협회 영천지부 회원사진전,사진작품 전시,영천예술창작스튜디오,문화예술과,2019-06-11,2019-06-15,2022-11-28
행사,6.25 전사자 유해발굴 개토식,민.관 군 6.25전사자 유해발굴 기원행사,영천댐 수변테마파크,복지정책과,2019-06-12,2019-06-12,2022-11-28
행사,경북중증장애인자립지원 센터협의회 종사자 체육대회,개회식,임고면 복지회관,사회복지과,2019-06-14,2019-06-14,2022-11-28
행사,경북중증장애인자립지원 센터협의회 종사자 체육대회,체육대회,임고면 복지회관,사회복지과,2019-06-14,2019-06-14,2022-11-28
행사,경북중증장애인자립지원 센터협의회 종사자 체육대회,친교의 시간,임고면 복지회관,사회복지과,2019-06-14,2019-06-14,2022-11-28
축제,제1회 노계문학전국백일장 개최,노계문학의 재발견 및 현대적 계승과 발전을 위한 백일장 개최,노계문학관 일원,문화예술과,2019-06-14,2019-06-15,2022-11-28
축제,2019 영천별빛캠핑페스티벌,보현산별빛축제장 투어 프로그램 진행,영천댐공원,관광진흥과,2019-06-14,2019-06-16,2022-11-28
축제,2019 영천별빛캠핑페스티벌,캠핑체험 및 문화공연 프로그램 운영,영천댐공원,관광진흥과,2019-06-14,2019-06-16,2022-11-28
행사,"산남의진 순국선열 추모식 및 백일장, 사생대회",산남의진 순국선열 추모식,충효재(자양면 충효2리),복지정책과,2019-06-15,2019-06-15,2022-11-28
행사,"산남의진 순국선열 추모식 및 백일장, 사생대회",독립유공자 후손 간담회,충효재(자양면 충효2리),복지정책과,2019-06-15,2019-06-15,2022-11-28
행사,"산남의진 순국선열 추모식 및 백일장, 사생대회",백일장,충효재(자양면 충효2리),복지정책과,2019-06-15,2019-06-15,2022-11-28
행사,"산남의진 순국선열 추모식 및 백일장, 사생대회",사생대회,충효재(자양면 충효2리),복지정책과,2019-06-15,2019-06-15,2022-11-28
축제,영천복사꽃전국사진 촬영대회 시상식,시상식 및 작품전시,영천예술창작스튜디오,문화예술과,2019-06-15,2019-06-15,2022-11-28
행사,제12회 (사)한국석조각 예술인협회 영남지회展,작품전시,영천예술창작스튜디오 1전시실,문화예술과,2019-06-17,2019-06-23,2022-11-28
행사,제12회 (사)한국석조각 예술인협회 영남지회展,작품전시,영천예술창작스튜디오 2전시실,문화예술과,2019-06-17,2019-06-23,2022-11-28
행사,시민사회교육 수료식 개최,배움나눔장터 운영,교육문화센터 우석홀,평생학습관,2019-06-20,2019-06-20,2022-11-28
행사,시민사회교육 수료식 개최,수료식 및 작품발표회,교육문화센터 우석홀,평생학습관,2019-06-20,2019-06-20,2022-11-28
행사,도지사기 게이트볼대회,시군대항전(남여부&혼성부),영덕군 공설운동장,새마을체육과,2019-06-20,2019-06-21,2022-11-28
