구분명,행사명,행사내용,장소명,담당부서명,행사시작일자,행사종료일자,데이터기준일자
행사,여름방학자원봉사학교,EM흙공 교육 및 던지기,영화교다리,새마을체육과,2019-08-03,2019-08-03,2022-11-28
축제,2019 지역문예회관 문화가 있는날,무용,시민회관 야외광장,문화예술과,2019-08-03,2019-08-03,2022-11-28
축제,2019 지역문예회관 문화가 있는날,국악,시민회관 야외광장,문화예술과,2019-08-03,2019-08-03,2022-11-28
축제,2019 지역문예회관 문화가 있는날,대중가요,시민회관 야외광장,문화예술과,2019-08-03,2019-08-03,2022-11-28
축제,2019 지역문예회관 문화가 있는날,댄스 공연,시민회관 야외광장,문화예술과,2019-08-03,2019-08-03,2022-11-28
기타,영천시 사회적 경제기업 육성 및 지원사업 설명회,사회적경제기업 지원제도 안내,교육문화센터 회의실,평생학습관,2019-08-05,2019-08-05,2022-11-28
기타,영천시 사회적 경제기업 육성 및 지원사업 설명회,협동조합 설립 절차 및 사례안내,교육문화센터 회의실,평생학습관,2019-08-05,2019-08-05,2022-11-28
기타,친환경과원관리사업 GAP병해충예찰 컨설팅 및 교육,친환경과원관리사업 GAP병해충예찰 컨설팅 회의 및 관련 교육,농업인회관 2층,과수한방과,2019-08-05,2019-08-05,2022-11-28
행사,"한돈협회, 돼지고기 나눔 행사 개최",경로당 등 소외계층 돼지고기 나눔 행사,영천시청 전정,축산과,2019-08-08,2019-08-08,2022-11-28
기타,영천별빛한우 브랜드 사업설명회 개최,영천별빛한우 브랜드 참여농가 설명회,농업기술센터 별관 2층 대강당,축산과,2019-08-08,2019-08-08,2022-11-28
기타,여름방학 영화상영,「정글북」,지산홀,평생학습관,2019-08-09,2019-08-09,2022-11-28
기타,시민회관 영화상영,「기생충」,시민회관 스타홀,문화예술과,2019-08-09,2019-08-10,2022-11-28
기타,"2nd STUDIO, 2019 영천예술창작스튜디오 특별전",영천예술창작스튜디오 11기 입주작가 작품 20여점 전시,시안미술관 별관,문화예술과,2019-08-09,2019-09-15,2022-11-28
기타,여름방학자원봉사학교,핸즈온프로그램 (수세미 만들기),多나눔센터 교육실,새마을체육과,2019-08-06,2019-08-06,2022-11-28
행사,영천로타리클럽 실버카페 기증식,영천시니어클럽에 실버카페 기증,영천시 무궁화길 20 2층(현대자동차 영천지점 2층),총무과,2019-08-13,2019-08-13,2022-11-28
기타,POP 일러스트 교육,일러스트 개념과 활용,多나눔센터 교육실,새마을체육과,2019-08-13,2019-08-13,2022-11-28
기타,POP 일러스트 교육,스케치하기,多나눔센터 교육실,새마을체육과,2019-08-13,2019-08-13,2022-11-28
행사,배드민턴 동호인 한마당,배드민턴 동호인 한마당,금호체육관,체육시설사업소,2019-08-18,2019-08-18,2022-11-28
행사,찾아가는 미술관「경북의 맥」,작품전시,"영천예술창작스튜디오 1, 2전시실",문화예술과,2019-08-16,2019-08-20,2022-11-28
축제,박상민&서영은과 함께하는 시민행복콘서트,콘서트,시민회관 스타홀,문화예술과,2019-08-17,2019-08-17,2022-11-28
기타,식품가공기능사 전문기능 교육,우유와 달걀 신선도 검사,농업기술센터 별관 1층 조리실,농촌지도과,2019-08-17,2019-08-17,2022-11-28
행사,재)영천시장학회 2019년 싱가폴&말레이시아 어학연수 수료식,수료증 및 우수 수료생 시상,시립도서관 지산홀,인구교육과,2019-08-13,2019-08-13,2022-11-28
축제,디즈니 명작 음악회,"디즈니 명작음악 어린이 공연(1, 2부)",시민회관 스타홀,문화예술과,2019-08-21,2019-08-21,2022-11-28
행사,문화특화지역 조성 간담회,문화특화지역 조성 간담회,지산홀,평생학습관,2019-08-30,2019-08-30,2022-11-28
기타,「기방도령」 영화상영,「기방도령」,시민회관 스타홀,문화예술과,2019-08-23,2019-08-24,2022-11-28
행사,제3회 협회장기 게이트볼 대회 개최,리그전 이후 순위 결정,영천게이트볼구장,새마을체육과,2019-08-21,2019-08-21,2022-11-28
행사,영천와인학교 소믈리에 양성과정 교육,"국가별와인학(칠레, 아르헨티나)",영천시농업기술센터 와인학교 2층,기술지원과,2019-08-20,2019-08-20,2022-11-28
행사,영천와인학교 소믈리에 양성과정 교육,테이스팅,영천시농업기술센터 와인학교 2층,기술지원과,2019-08-20,2019-08-20,2022-11-28
기타,The(더) 공감 인문학 9월 강좌 수강생 모집,"시(詩), 가을처럼 내 마음 물들이다",교육문화센터,평생학습관,2019-08-19,2019-08-23,2022-11-28
행사,임란영천성수복대첩기념 학술세미나,영천성 수복대첩 학술연구 결과 발표 및 주제별 토론,교육문화센터 우석홀,문화예술과,2019-08-29,2019-08-29,2022-11-28
축제,<2019 지역문예회관 문화가 있는 날> “소풍”,청소년들을 위한 국악,영천성남여자고등학교,문화예술과,2019-08-30,2019-08-30,2022-11-28
축제,<2019 지역문예회관 문화가 있는 날> “소풍”,무용,영천성남여자고등학교,문화예술과,2019-08-30,2019-08-30,2022-11-28
축제,<2019 지역문예회관 문화가 있는 날> “소풍”,댄스 공연,영천성남여자고등학교,문화예술과,2019-08-30,2019-08-30,2022-11-28
축제,한(寒)여름밤! 국악과 만나는 인문학,인문학 강좌(2차) 개최,영천향교 명륜당,문화예술과,2019-08-31,2019-08-31,2022-11-28
기타,신품종‘아리수’사과 현장 평가회,아리수’사과 과실 및 수체 특성 현장 평가,박정하 농장(화남면 구전로 274-9),기술지원과,2019-08-27,2019-08-27,2022-11-28
기타,신품종‘아리수’사과 현장 평가회,‘아리수’특성 설명 및 시식 평가,박정하 농장(화남면 구전로 274-9),기술지원과,2019-08-27,2019-08-27,2022-11-28
행사,제9회 실버가요제 및 예능경연대회,어르신 노래 및 예능경연대회,영천시민회관,사회복지과,2019-08-29,2019-08-29,2022-11-28
행사,제9회 실버가요제 및 예능경연대회,가수 축하공연,영천시민회관,사회복지과,2019-08-29,2019-08-29,2022-11-28
행사,함께하는 추석명절 행福나눔행사,명절 선물세트 포장 및 사진촬영,영천시종합복지센터 회의실(1층),복지정책과,2019-08-30,2019-08-30,2022-11-28
행사,영천별빛한우 명품 구이축제 및 한우경진대회,한우경진대회,영천 강변공원,축산과,2019-09-03,2019-09-03,2022-11-28
행사,영천별빛한우 명품 구이축제 및 한우경진대회,한우고급육품평회,영천 강변공원,축산과,2019-09-03,2019-09-03,2022-11-28
행사,영천별빛한우 명품 구이축제 및 한우경진대회,초음파 육질진단 경진대회,영천 강변공원,축산과,2019-09-03,2019-09-03,2022-11-28
행사,제20회 신녕지구전투 호국 영령 합동위령제,식전행사,신녕지구 전승비,복지정책과,2019-09-05,2019-09-05,2022-11-28
행사,제20회 신녕지구전투 호국 영령 합동위령제,본행사,신녕지구 전승비,복지정책과,2019-09-05,2019-09-05,2022-11-28
행사,제20회 신녕지구전투 호국 영령 합동위령제,점심공양,신녕지구 전승비,복지정책과,2019-09-05,2019-09-05,2022-11-28
행사,제17회 찾아가는 역사박물관 기획전시,임진창의회맹록 발굴·전시 및 지역별 의병장 재조명+권응수 장군 유물 영인본 15점 전시,영천시민회관 로비,문화예술과,2019-09-02,2019-09-06,2022-11-28
행사,추석맞이 영천사랑상품권 특별 할인판매,영천사랑상품권 특별 할인판매,관내 농축협,일자리노사과,2019-09-02,2019-09-30,2022-11-28
행사,추석맞이 영천사랑상품권 특별 할인판매,영천사랑상품권 특별 할인판매,관내대구은행,일자리노사과,2019-09-02,2019-09-30,2022-11-28
행사,추석맞이 영천사랑상품권 특별 할인판매,영천사랑상품권 특별 할인판매,관내새마을금고,일자리노사과,2019-09-02,2019-09-30,2022-11-28
행사,추석맞이 영천사랑상품권 특별 할인판매,영천사랑상품권 특별 할인판매,관내신협,일자리노사과,2019-09-02,2019-09-30,2022-11-28
축제,"<추석맞이 특별공연>해설이 있는 춤, 소리 그리고 놀자",한국창작무용,시민회관 스타홀,문화예술과,2019-09-05,2019-09-05,2022-11-28
행사,문학영천 출판기념회 및 시 낭송회,출판기념회 및 시 낭송회,영천문화원,문화예술과,2019-09-06,2019-09-06,2022-11-28
축제,시민회관 영화상영,「사자」,시민회관 스타홀,문화예술과,2019-09-06,2019-09-07,2022-11-28
축제,영천시종합사회복지관 추석명절행사,추석명절 음식 등 나눔 행사 및 문화공연 제공,야사주공 3단지 관리사무소 옆 공터,사회복지과,2019-09-10,2019-09-10,2022-11-28
행사,DGB사회공헌재단과 함께 하는 추석맞이 무료급식,추석명절맞이 무료급식 실시,영천시장애인종합복지관,사회복지과,2019-09-11,2019-09-11,2022-11-28
행사,(사)대한노인회 영천시지회 부설 노인대학 특강,노인대학 특강,영천시종합복지센터 1층 강당,사회복지과,2019-09-10,2019-09-10,2022-11-28
기타,체류형농업창업지원센터 입교 개강식,체류형농업창업지원센터 입교 개강식,체류형농업창업지원센터 세미나실,농촌지도과,2019-09-10,2019-09-10,2022-11-28
기타,광대들 영화상영,시민회관 영화상영,시민회관 스타홀,문화예술과,2019-09-16,2019-09-17,2022-11-28
행사,시민행복아카데미 9월 특강 개최,행복관련 특강,교육문화센터 우석홀,총무과,2019-09-18,2019-09-18,2022-11-28
축제,경북 국가유공자 가족 나라사랑 한마음대회,위로공연,육군3사관학교(충성관),복지정책과,2019-09-20,2019-09-20,2022-11-28
축제,경북 국가유공자 가족 나라사랑 한마음대회,기념식,육군3사관학교(충성관),복지정책과,2019-09-20,2019-09-20,2022-11-28
축제,경북 국가유공자 가족 나라사랑 한마음대회,부대행사,육군3사관학교(충성관),복지정책과,2019-09-20,2019-09-20,2022-11-28
행사,오색바림회 민화 정기 회원展,전통 민화 40여점 전시,"예술창작스튜디오 1, 2전시실",문화예술과,2019-09-20,2019-09-29,2022-11-28
축제,은해사 전국 어린이 청소년 미술대전,전국 어린이 청소년 미술대전,은해사 경내,문화예술과,2019-09-21,2019-09-21,2022-11-28
기타,가족오페라 마술피리,마술피리 오페라 공연,시민회관 스타홀,문화예술과,2019-09-21,2019-09-21,2022-11-28
축제,왕평가요제 예심,가요제 예선심사,교육문화센터 우석홀,평생학습관,2019-09-22,2019-09-22,2022-11-28
축제,지역문예회관 문화가 있는 날,지역민들을 위한 국악공연,북안면복지회관,문화예술과,2019-09-23,2019-09-23,2022-11-28
축제,지역문예회관 문화가 있는 날,지역민들을 위한 무용공연,북안면복지회관,문화예술과,2019-09-23,2019-09-23,2022-11-28
축제,지역문예회관 문화가 있는 날,지역민들을 위한 가요공연,북안면복지회관,문화예술과,2019-09-23,2019-09-23,2022-11-28
행사,여성채용미니박람회,구인기업 1:1면접,교육문화센터 1층 우석홀 일원,평생학습관,2019-09-24,2019-09-24,2022-11-28
행사,여성채용미니박람회,기업체협약식,교육문화센터 1층 우석홀 일원,평생학습관,2019-09-24,2019-09-24,2022-11-28
행사,여성채용미니박람회,구직신청 및 이력서작성 지원,교육문화센터 1층 우석홀 일원,평생학습관,2019-09-24,2019-09-24,2022-11-28
행사,여성채용미니박람회,이벤트관 운영,교육문화센터 1층 우석홀 일원,평생학습관,2019-09-24,2019-09-24,2022-11-28
기타,사뿐사뿐 나비처럼 발표회,한국무용교육프로그램 성과발표,시민회관 스타홀,문화예술과,2019-09-25,2019-09-25,2022-11-28
축제,KBS 전국노래자랑 예심,무반주 심사,영천시민회관,과수한방과,2019-09-26,2019-09-26,2022-11-28
축제,KBS 전국노래자랑 예심,노래방 반주 심사,영천시민회관,과수한방과,2019-09-26,2019-09-26,2022-11-28
행사,별빛배 전국 게이트볼 대회,게이트볼 대회,영천 단포축구장,새마을체육과,2019-09-27,2019-09-27,2022-11-28
행사,별빛찻자리 개최,기념식,영천문화원 조양각,가족행복과,2019-09-27,2019-09-27,2022-11-28
행사,별빛찻자리 개최,찻자리 개최,영천문화원 조양각,가족행복과,2019-09-27,2019-09-27,2022-11-28
축제,경북도민문화 한마당 행사,문화공연,은해사 내 육화원 운동장,새마을체육과,2019-09-28,2019-09-28,2022-11-28
축제,경북도민문화 한마당 행사,백일장,은해사 내 육화원 운동장,새마을체육과,2019-09-28,2019-09-28,2022-11-28
축제,경북도민문화 한마당 행사,사생대회,은해사 내 육화원 운동장,새마을체육과,2019-09-28,2019-09-28,2022-11-28
행사,민관군 친선축구대회,토너먼트,영천 단포축구장,새마을체육과,2019-09-29,2019-09-29,2022-11-28
행사,민관군 친선축구대회,토너먼트,영천 단포축구장,새마을체육과,2019-10-06,2019-10-06,2022-11-28
행사,어린이 건강뮤지컬,"어린이 건강뮤지컬 1, 2부",시민회관 스타홀,문화예술과,2019-09-30,2019-09-30,2022-11-28
행사,영천대첩 기념행사,제69주년 영천대첩 기념행사 및 오찬,국립영천호국원 영첩대첩비,복지정책과,2019-09-30,2019-09-30,2022-11-28
행사,영천큰장 고객사은대잔치,축하공연,영천공설시장 3층 주차장,일자리노사과,2019-10-02,2019-10-02,2022-11-28
행사,영천큰장 고객사은대잔치,체험행사,영천공설시장 3층 주차장,일자리노사과,2019-10-02,2019-10-02,2022-11-28
행사,영천큰장 고객사은대잔치,경품추첨,영천공설시장 3층 주차장,일자리노사과,2019-10-02,2019-10-02,2022-11-28
축제,은해사 1210주년 개산대재,은해사 개산대재 법요식 및 음악회,은해사,문화예술과,2019-10-05,2019-10-05,2022-11-28
행사,국학기공 대회 개최,국학기공 대회,영천 교육문화센터 우석홀,새마을체육과,2019-10-05,2019-10-05,2022-11-28
행사,스타배 전국족구대회,족구대회,영천시민운동장,새마을체육과,2019-10-05,2019-10-06,2022-11-28
행사,영천관광 사진 공모전 전시,전국사진공모전 입상작 전시,은해사,관광진흥과,2019-10-01,2019-10-15,2022-11-28
행사,숭렬당 추향제,유교 전통 예절 전수를 위한 의식 행사,숭렬당,문화예술과,2019-10-07,2019-10-07,2022-11-28
행사,향군의 날 기념식 및 안보결의대회,항군의 날 기념식,영천호국원 현충관,복지정책과,2019-10-08,2019-10-08,2022-11-28
행사,향군의 날 기념식 및 안보결의대회,호국기념관 개관식,영천호국원 현충관,복지정책과,2019-10-08,2019-10-08,2022-11-28
행사,향군의 날 기념식 및 안보결의대회,나라사랑 호국 음악회,영천호국원 현충관,복지정책과,2019-10-08,2019-10-08,2022-11-28
행사,향군의 날 기념식 및 안보결의대회,항군의 날 기념식,호국기념관,복지정책과,2019-10-08,2019-10-08,2022-11-28
행사,향군의 날 기념식 및 안보결의대회,호국기념관 개관식,호국기념관,복지정책과,2019-10-08,2019-10-08,2022-11-28
행사,향군의 날 기념식 및 안보결의대회,나라사랑 호국 음악회,호국기념관,복지정책과,2019-10-08,2019-10-08,2022-11-28
기타,양정자 짚풀공예 개인전,초고-짚풀 공예 작품 60여점 전시,영천예술창작스튜디오1관,문화예술과,2019-10-08,2019-10-10,2022-11-28
기타,양정자 짚풀공예 개인전,초고-짚풀 공예 작품 60여점 전시,영천예술창작스튜디오2관,문화예술과,2019-10-08,2019-10-10,2022-11-28
행사,노인의 날 행사,식전공연,시민회관,사회복지과,2019-10-10,2019-10-10,2022-11-28
행사,노인의 날 행사,청려장 전달,시민회관,사회복지과,2019-10-10,2019-10-10,2022-11-28
행사,4차산업시대 왜 평생교육인가,4차산업시대 왜 평생교육인가 강연,교육문화센터 우석홀,평생학습관,2019-10-10,2019-10-10,2022-11-28
기타,엑시트 영화상영,영화상영,시민회관 스타홀,문화예슬과,2019-10-11,2019-10-12,2022-11-28
행사,영천댐 별빛 걷기대회,걷기대회,영천댐공원,세마을체육과,2019-10-12,2019-10-12,2022-11-28
행사,체류형농업창업지원센터 준공식 개최,농악,체류형농업창업지원센터,농촌지도과,2019-10-15,2019-10-15,2022-11-28
행사,체류형농업창업지원센터 준공식 개최,준공식,체류형농업창업지원센터,농촌지도과,2019-10-15,2019-10-15,2022-11-28
행사,체류형농업창업지원센터 준공식 개최,테이프컷팅,체류형농업창업지원센터,농촌지도과,2019-10-15,2019-10-15,2022-11-28
행사,체류형농업창업지원센터 준공식 개최,시설관람,체류형농업창업지원센터,농촌지도과,2019-10-15,2019-10-15,2022-11-28
행사,체류형농업창업지원센터 준공식 개최,다과회,체류형농업창업지원센터,농촌지도과,2019-10-15,2019-10-15,2022-11-28
행사,시장기 파크골프대회,골프대회 개회식,조교동 파크골프장,세마을체육과,2019-10-16,2019-10-16,2022-11-28
행사,어린이 교통안전 뮤지컬,어린이 교통안전 예방교육 뮤지컬,시민회관 스타홀,문화예술과,2019-10-16,2019-10-16,2022-11-28
축제,가을밤 시민을 위한 음악회,문화원 내 문화강좌 동아리 등 문화공연,조양각 특설무대,문화예술과,2019-10-16,2019-10-16,2022-11-28
축제,가을밤 시민을 위한 음악회,문화원 내 문화강좌 동아리 등 축하공연,조양각 특설무대,문화예술과,2019-10-16,2019-10-16,2022-11-28
기타,제18회 미목회 정기展,서양화 작품 50여점 전시,예술창작스튜디오 1전시실,문화예술과,2019-10-17,2019-10-17,2022-11-28
기타,제18회 미목회 정기展,서양화 작품 50여점 전시,예술창작스튜디오 2전시실,문화예술과,2019-10-17,2019-10-17,2022-11-28
기타,제18회 미목회 정기展,서예 작품 50여점 전시,예술창작스튜디오 1전시실,문화예술과,2019-10-17,2019-10-17,2022-11-28
기타,제18회 미목회 정기展,서예 작품 50여점 전시,예술창작스튜디오 2전시실,문화예술과,2019-10-17,2019-10-17,2022-11-28
기타,제18회 미목회 정기展,공예 작품 50여점 전시,예술창작스튜디오 1전시실,문화예술과,2019-10-17,2019-10-17,2022-11-28
기타,제18회 미목회 정기展,공예 작품 50여점 전시,예술창작스튜디오 2전시실,문화예술과,2019-10-17,2019-10-17,2022-11-28
행사,청소년상담 강연회,청소년상담 전문인 특강,교육문화센터 강당,세마을체육과,2019-10-18,2019-10-18,2022-11-28
축제,청소년 가요댄스 경연대회,청소년 댄스경연 대회,영천강변공원 분수광장,세마을체육과,2019-10-19,2019-10-19,2022-11-28
행사,국가유공자 나라사랑 한마음대회,식전공연,시민회관,복지정책과,2019-10-22,2019-10-22,2022-11-28
행사,국가유공자 나라사랑 한마음대회,공식행사,시민회관,복지정책과,2019-10-22,2019-10-22,2022-11-28
행사,국가유공자 나라사랑 한마음대회,위로공연,시민회관,복지정책과,2019-10-22,2019-10-22,2022-11-28
행사,한국농촌지도자영천시연합회 한마음대회,개회식,영천생활체육관,농촌지도과,2019-10-22,2019-10-22,2022-11-28
행사,한국농촌지도자영천시연합회 한마음대회,화합행사,영천생활체육관,농촌지도과,2019-10-22,2019-10-22,2022-11-28
행사,한국농촌지도자영천시연합회 한마음대회,특강,영천생활체육관,농촌지도과,2019-10-22,2019-10-22,2022-11-28
행사,영천예술창작스튜디오 제11기 입주작가 작품전시,입주작가 작품 전시,예술창작스튜디오 1전시실,문화예술과,2019-10-23,2019-10-27,2022-11-28
행사,영천예술창작스튜디오 제11기 입주작가 작품전시,입주작가 작품 전시,예술창작스튜디오 2전시실,문화예술과,2019-10-23,2019-10-27,2022-11-28
행사,경북학생체육대회(태권도),체육대회,최무선관,체육시설사업소,2019-10-25,2019-10-26,2022-11-28
행사,거조사 나한대재,거조사 나한대재 법요식,거조사,문화예술과,2019-10-26,2019-10-26,2022-11-28
행사,거조사 나한대재,작은음악회 개최,거조사,문화예술과,2019-10-26,2019-10-26,2022-11-28
행사,새마을 알뜰 무료 도서교환 시장,무료도서교환시장 운영,시립도서관 앞 공터,새마을체육과,2019-10-23,2019-10-23,2022-11-28
행사,새마을 알뜰 무료 도서교환 시장,독서캠페인 전개,시립도서관 앞 공터,새마을체육과,2019-10-23,2019-10-23,2022-11-28
기타,창의정용군-이름없는 들풀이여,창의정용군 주제 한국창작무용,시민회관 스타홀,문화예술과,2019-10-23,2019-10-23,2022-11-28
축제,포은선생 충효정신 선양 전국 한시백일장,전통문화 계승발전을 위한 전국 한시백일장,임고서원 충효문화수련원,문화예술과,2019-10-26,2019-10-26,2022-11-28
행사,시장기 골프대회,골프대회 개회식,오펠GC,세마을체육과,2019-10-28,2019-10-28,2022-11-28
행사,경상북도학생체육대회,체육대회,시민운동장,경상북도 교육청,2019-10-28,2019-10-31,2022-11-28
기타,영화상영(봉오동전투),영화상영,시민회관,문화예술과,2019-10-28,2019-10-28,2022-11-28
축제,영천사생회전,영천 사생회전 회원 유화 전시,영천예술창작스튜디오 1전시실,문화예술과,2019-10-29,2019-11-03,2022-11-28
축제,영천사생회전,영천 사생회전 회원 유화 전시,영천예술창작스튜디오 2전시실,문화예술과,2019-10-29,2019-11-03,2022-11-28
축제,영천사생회전,영천 사생회전 회원 수채화 전시,영천예술창작스튜디오 1전시실,문화예술과,2019-10-29,2019-11-03,2022-11-28
축제,영천사생회전,영천 사생회전 회원 수채화 전시,영천예술창작스튜디오 2전시실,문화예술과,2019-10-29,2019-11-03,2022-11-28
기타,시장기 게이트볼대회,게이트볼 대회,영천게이트볼장,세마을체육과,2019-10-30,2019-10-30,2022-11-28
행사,어린이집 부모교육 실시,행복한 가정을 위한 부모교육,교육문화센터 우석홀,평생학습관,2019-10-30,2019-10-30,2022-11-28
행사,시장기 그라운드골프대회,골프대회 개회식,단포축구장,세마을체육과,2019-10-31,2019-10-31,2022-11-28
축제,영천아리랑전국경창대회,영천아리랑 1소절,시민회관,문화예술과,2019-11-02,2019-11-02,2022-11-28
축제,영천아리랑전국경창대회,아리랑,시민회관,문화예술과,2019-11-02,2019-11-02,2022-11-28
축제,보훈가족 어울림마당,식전공연,시민회관,복지정책과,2019-11-05,2019-11-05,2022-11-28
축제,보훈가족 어울림마당,공식행사,시민회관,복지정책과,2019-11-05,2019-11-05,2022-11-28
축제,보훈가족 어울림마당,위로공연,시민회관,복지정책과,2019-11-05,2019-11-05,2022-11-28
행사,아이와 함께 자라는 부모,교육 강연,교육문화센터 우석홀,평생학습관,2019-11-06,2019-11-06,2022-11-28
축제,영천시민 가을음악회,클래식 음악회 개최,영천시민회관,문화예술과,2019-11-06,2019-11-06,2022-11-28
기타,입주작가 릴레이전 part2,입주작가 작품 전시,영천예술창작스튜디오 1전시실,문화예술과,2019-11-06,2019-11-10,2022-11-28
기타,입주작가 릴레이전 part2,입주작가 작품 전시,영천예술창작스튜디오 2전시실,문화예술과,2019-11-06,2019-11-10,2022-11-28
축제,사랑 나눔 바자회,바자회 물품 판매,장애인종합복지관,사회복지과,2019-11-07,2019-11-07,2022-11-28
기타,영화상영(나쁜녀석들),영화상영,시민회관,문화예술과,2019-11-08,2019-11-09,2022-11-28
행사,영천시장기 탁구대회,탁구대회,영천체육관,체육시설사업소,2019-11-08,2019-11-10,2022-11-28
행사,영천시장기 탁구대회,탁구대회,생활체육관,체육시설사업소,2019-11-08,2019-11-10,2022-11-28
축제,백신애문학제,백신회 문학강연,교육문화센터,문화예술과,2019-11-09,2019-11-09,2022-11-28
축제,백신애문학제,백신애 문학상 및 창작기금 시상식,교육문화센터,문화예술과,2019-11-09,2019-11-09,2022-11-28
행사,6.25전사자 합동영결식,유해발굴 합동 영결식,영천호국원 현충관,복지정책과,2019-11-11,2019-11-11,2022-11-28
행사,신녕면 행복학습센터 종강식,행복학습센터 종강식,신녕면 복지회관,평생학습관,2019-11-13,2019-11-13,2022-11-28
축제,백신애 적빈(赤貧) 연극,백신애 소설 무료 연극,영천시민회관 스타홀,문화예술과,2019-11-13,2019-11-13,2022-11-28
축제,우리농업살리기 후원주점 행사,도농교류,SD웨딩컨벤션 2층 연회장,농업정책과,2019-11-13,2019-11-13,2022-11-28
축제,우리농업살리기 후원주점 행사,친목도모,SD웨딩컨벤션 2층 연회장,농업정책과,2019-11-13,2019-11-13,2022-11-28
축제,애니메이션 음악 콘서트,디즈니 애니메이션 ost 공연,영천시립도서관 지산홀,평생학습관,2019-11-13,2019-11-13,2022-11-28
축제,다둥이가족 사랑 축제,식전공연,영천시민회관,사회복지과,2019-11-14,2019-11-14,2022-11-28
축제,다둥이가족 사랑 축제,개회식,영천시민회관,사회복지과,2019-11-14,2019-11-14,2022-11-28
축제,다둥이가족 사랑 축제,공연관람,영천시민회관,사회복지과,2019-11-14,2019-11-14,2022-11-28
축제,다둥이가족 사랑 축제,부대행사,영천시민회관,사회복지과,2019-11-14,2019-11-14,2022-11-28
행사,전몰 학도의용군 추념식,추념식 행사,국립영천호국원,평생학습관,2019-11-15,2019-11-15,2022-11-28
행사,포은서예휘호대회,서예휘호대회,임고복지회관,문화예술과,2019-11-16,2019-11-16,2022-11-28
행사,경북유림총화대회 및 인성교육평가회,유교문화 활용방안 모색,시민회관,문화예술과,2019-11-20,2019-11-20,2022-11-28
기타,영천예술창작스튜디오 제11기 입주작가 릴레이전(part3)&오픈스튜디오,입주작가 작품 전시,영천예술창작스튜디오 1전시실,문화예술과,2019-11-20,2019-11-24,2022-11-28
기타,영천예술창작스튜디오 제11기 입주작가 릴레이전(part3)&오픈스튜디오,입주작가 작품 전시,영천예술창작스튜디오 2전시실,문화예술과,2019-11-20,2019-11-24,2022-11-28
행사,새마을지도자 한마음 전진대회,의식행사,영천체육관,새마을체육과,2019-11-21,2019-11-21,2022-11-28
행사,새마을지도자 한마음 전진대회,시상,영천체육관,새마을체육과,2019-11-21,2019-11-21,2022-11-28
행사,새마을지도자 한마음 전진대회,축하공연,영천체육관,새마을체육과,2019-11-21,2019-11-21,2022-11-28
행사,새마을지도자 한마음 전진대회,읍면동 회원 화합대회,영천체육관,새마을체육과,2019-11-21,2019-11-21,2022-11-28
행사,스타배 배드민턴 대회,배드민턴 대회,영천체육관,체육시설사업소,2019-11-22,2019-11-24,2022-11-28
행사,스타배 배드민턴 대회,배드민턴 대회,생활체육관,체육시설사업소,2019-11-22,2019-11-24,2022-11-28
행사,스타배 배드민턴 대회,배드민턴 대회,금호체육관,체육시설사업소,2019-11-22,2019-11-24,2022-11-28
행사,한방김장김치 담그기 행사,한방김장김치 담그기 체험 행사,농업기술센터 구내식당,농업정책과,2019-11-23,2019-11-23,2022-11-28
행사,한방김장김치 담그기 행사,시식회,농업기술센터 구내식당,농업정책과,2019-11-23,2019-11-23,2022-11-28
행사,최무선과학관 학부모 과학교실 특강,과학교실 특강,최무선과학관 창의과학체험실,문화예술과,2019-11-23,2019-11-23,2022-11-28
행사,경북 동호인 화합 축구대회,축구대회,단포축구장,새마을체육과,2019-11-23,2019-11-24,2022-11-28
행사,경북 동호인 화합 축구대회,축구대회,단포축구장,새마을체육과,2019-12-01,2019-12-01,2022-11-28
기타,영화상영(가장보통의연애),영화상영,시민회관,문화예술과,2019-11-22,2019-11-23,2022-11-28
축제,문화가 있는 날-우리춤이야기,무용,대창면 문화센터,문화예술과,2019-11-25,2019-11-25,2022-11-28
축제,문화가 있는 날-우리춤이야기,민요,대창면 문화센터,문화예술과,2019-11-25,2019-11-25,2022-11-28
축제,문화가 있는 날-우리춤이야기,가요공연,대창면 문화센터,문화예술과,2019-11-25,2019-11-25,2022-11-28
행사,별빛유아숲체험원 개원식,체험원 개원식,영천시 망정동 산14-5번지,산림과,2019-11-26,2019-11-26,2022-11-28
행사,새마을 사랑의 김장 담가주기 행사,김장,영천시새마을회관 앞 마당,새마을체육과,2019-11-28,2019-11-28,2022-11-28
행사,새마을 사랑의 김장 담가주기 행사,소외이웃 나눔,영천시새마을회관 앞 마당,새마을체육과,2019-11-28,2019-11-28,2022-11-28
행사,귀농인 한마음대회,식전행사,영천체육관,농촌지도과,2019-11-28,2019-11-28,2022-11-28
행사,귀농인 한마음대회,개회식,영천체육관,농촌지도과,2019-11-28,2019-11-28,2022-11-28
행사,귀농인 한마음대회,화합한마당,영천체육관,농촌지도과,2019-11-28,2019-11-28,2022-11-28
행사,귀농인 한마음대회,폐회식,영천체육관,농촌지도과,2019-11-28,2019-11-28,2022-11-28
축제,매직 버블쇼 도서관에서 즐겨요!,특별공연,영천시립도서관 지산홀,평생학습관,2019-11-29,2019-11-29,2022-11-28
행사,영천대마기 전국종합마술 축제,종합마술 승마대회,운주산승마조련센터,축산과,2019-11-30,2019-12-01,2022-11-28
