이름,주소,위도,경도,읍면동,테마
조선통신사 옛길 서울-동경 한·일 우정걷기,광화문,,,,행사/축제
조선통신사 옛길 서울-동경 한·일 우정걷기,전쟁기념관,,,,행사/축제
동화읽는어른모임 공개강좌,지산홀,,,,행사/축제
농업경영인가족 한마음대회,영천강변공원,,,,행사/축제
자활기업『유가네닭갈비』 출범식,유가네닭갈비 영천점,,,,행사/축제
시민 체육대회 대비 봄맞이 국토대청결 운동,2개 동 취약지역(동부동남부동),,,동부동남부동,행사/축제
찾아가는 음악회,영천나자렛집,,,,행사/축제
시민과 함께하는 『웃찾사 & 영천빅리그』,시민회관 스타홀,,,,행사/축제
식품접객업 기존영업주 위생교육,시민회관 스타홀,,,,행사/축제
제41회 영천시민체육대회,영천시민운동장,,,영천시민운동,행사/축제
예술창작스튜디오 제11기 입주작가 프리뷰전,영천예술창작스튜디오 1전시실,,,,행사/축제
예술창작스튜디오 제11기 입주작가 프리뷰전,영천예술창작스튜디오 2전시실,,,,행사/축제
시민회관 영화상영,시민회관 스타홀,,,,행사/축제
민물낚시대회,영천 탑못(금호읍),,,금호읍,행사/축제
벚꽃100리길마라톤대회,영천댐 일원,,,,행사/축제
복사꽃 전국사진 촬영대회,대창면 일원(개회식:(구)영창중학교),,,대창면,행사/축제
야외 벚꽃음악회,영천댐 하류공원 폭포앞 특설무대,,,,행사/축제
2019년 민방위 대장교육,시민회관,,,,행사/축제
우리가 스타-G 영천시편 예선 심사,영천시종합복지센터 1층 강당,,,,행사/축제
제39회 영천시 장애인의 날 기념식 및 체육대회 개최,영천강변공원(분수대 옆 무대),,,,행사/축제
V.O.S 퇴근하고 여기 어때,시민회관 스타홀,,,,행사/축제
2019 최무선과학꿈잔치 개최 및 최무선영상체험관 개관,최무선과학관 일원,,,,행사/축제
청소년 동아리 발대식,청소년문화의 집(2층),,,,행사/축제
최무선장군 추모제,최무선과학관,,,,행사/축제
지구의 날 기념 소등 행사,영천시청(본관/별관),,,,행사/축제
지구의 날 기념 소등 행사,16개 읍면동,,,읍면동,행사/축제
장애인종합복지관 신나는 예술여행,영천시장애인종합복지관 강당,,,,행사/축제
"제15회 찾아가는 역사박물관 『창의정용군, 조선을 구하다』",동국대학교 경주캠퍼스 박물관,,,,행사/축제
우리가 스타-G 녹화경연,영천시민회관,,,,행사/축제
2019년 포도분야 해외 전문가 초청 교육,농업기술센터 강당,,,,행사/축제
"“행복영천 시민, 천원의 행복”",시민회관 스타홀,,,,행사/축제
제11회 영천시장기 족구대회,영천 강변체육공원 축구장,,,,행사/축제
2019년 경력단절예방을 위한 취업특강,교육문화센터 회의실,,,,행사/축제
사랑의 무료급식,영천역,,,,행사/축제
2019년 영천시민대학 수료식 및 특강,교육문화센터 회의실,,,,행사/축제
도시재생뉴딜 영천공설시장 상인대학 교육,완산동 청년회 사무실(영천공설시장 2층 주차장),,,완산동,행사/축제
영천불교연합회 부처님 오신날 봉축법요식,영천강변공원,,,,행사/축제
「어린이 캣츠 2탄」 어린이날 특별기획공연,시민회관 스타홀,,,,행사/축제
귀농귀촌학교(전원생활체험학교) 2기 교육 개강,보현자연수련원,,,,행사/축제
제97회 어린이날 큰잔치,영천강변공원 분수광장,,,,행사/축제
임란의병 한천승첩 기념 추모행사,백의사(영천시 화남면 삼창리),,,화남면,행사/축제
강성태의 “미쳐야 공부다”,교육문화센터 우석홀,,,,행사/축제
「2019 DAC 소장 작품 순회전 - 사람풍경展」 개최,영천예술창작스튜디오 1전시실,,,,행사/축제
「2019 DAC 소장 작품 순회전 - 사람풍경展」 개최,영천예술창작스튜디오 2전시실,,,,행사/축제
제3회 영천시장기 배드민턴 대회,영천생활체육관 외 1개소,,,,행사/축제
"귀농귀촌인 포도,복숭아 교육",농업기술센터 강당,,,,행사/축제
부처님 오신날 봉축법요식,은해사 및 관내 사찰,,,,행사/축제
대한노인회 영천시지회 부설 노인대학 특강,영천시 종합사회복지센터 1층 강당,,,,행사/축제
영천시 취업지원센터 외부 강사 초청 취업특강,영천제일직업전문학교,,,,행사/축제
시각장애인협회 이용자 간담회 및 인식개선교육,스타컨벤션웨딩 1층,,,,행사/축제
제2회 작약꽃전람회 및 꽃체험 행사,신녕면 왕산리 495번지,,,신녕면,행사/축제
별빛나이트투어 행사,한의마을,,,,행사/축제
별빛나이트투어 행사,보현산 천문과학관 등,,,,행사/축제
산골마을 작은 음악회,채약서당(대창면 용전리),,,대창면,행사/축제
「오월愛 어울림콘서트」,시민회관 스타홀,,,,행사/축제
3사관학교와 영천시민이 함께하는 한마음 콘서트,강변공원 야외공연장,,,,행사/축제
영천관광 전국사진공모전 입상작 전시,국립영천호국원 내,,,,행사/축제
어린이 안전인형극 및 안전퀴즈 교육,시립도서관 지산홀,,,,행사/축제
호국나이트투어(1회) 실시,3사관학교 일원,,,,행사/축제
영천 채용한마당 개최,영천상공회의소,,,,행사/축제
영천향교 기로연,영천향교 명륜당,,,,행사/축제
공공형어린이집 오픈데이,영천문화원,,,,행사/축제
공공형어린이집 오픈데이,음악분수대,,,,행사/축제
제1회 시장배 전국댄스스포츠 대회,영천체육관,,,,행사/축제
골프협회장배 골프대회,영천 오펠골프클럽,,,,행사/축제
"농민회, 풍년농사 기원제 및 손모심기 시연",고경면 용전리 1378-2번지,,,고경면,행사/축제
척수장애인협회 개소식 및 재활증진 대회,영천시장애인회관 2층(척수사무실),,,,행사/축제
2019 나도 작가전 이동 전시회,영천 별빛야시장(영천공설시장 중앙통로),,,,행사/축제
동화 속 주인공이,중앙초등학교 대강당,,,,행사/축제
최태자 도자기 개인展,영천예술창작스튜디오 1전시실,,,,행사/축제
최태자 도자기 개인展,영천예술창작스튜디오 2전시실,,,,행사/축제
아(이와)나(무와)아(빠와),목재문화체험장,,,,행사/축제
별빛어린이 바둑대회,영천체육관,,,,행사/축제
‘사뿐사뿐 나비처럼’개강식,시민회관 리허설실,,,,행사/축제
와인학교 소믈리에 양성과정 교육,농업기술센터 와인학교 2층,,,,행사/축제
여성새로일하기센터 기업체 워크숍 개최,교육문화센터 회의실,,,,행사/축제
제64회 현충일 추념행사,충혼탑(교촌동),,,교촌동,행사/축제
영천시협회장기 탁구대회,영천생활체육관,,,,행사/축제
영천시협회장기 축구대회,강변체육공원 단포축구장,,,,행사/축제
농민수당관련 농업인단체 설명회 개최,농업기술센터 별관 2층 강당,,,,행사/축제
제14회한국사진작가협회 영천지부 회원사진전,영천예술창작스튜디오,,,,행사/축제
6.25 전사자 유해발굴 개토식,영천댐 수변테마파크,,,,행사/축제
경북중증장애인자립지원 센터협의회 종사자 체육대회,임고면 복지회관,,,임고면,행사/축제
제1회 노계문학전국백일장 개최,노계문학관 일원,,,,행사/축제
2019 영천별빛캠핑페스티벌,영천댐공원,,,,행사/축제
"산남의진 순국선열 추모식 및 백일장, 사생대회",충효재(자양면 충효2리),,,자양면,행사/축제
영천복사꽃전국사진 촬영대회 시상식,영천예술창작스튜디오,,,,행사/축제
제12회 (사)한국석조각 예술인협회 영남지회展,영천예술창작스튜디오 1전시실,,,,행사/축제
제12회 (사)한국석조각 예술인협회 영남지회展,영천예술창작스튜디오 2전시실,,,,행사/축제
시민사회교육 수료식 개최,교육문화센터 우석홀,,,,행사/축제
도지사기 게이트볼대회,영덕군 공설운동장,,,공설운동,행사/축제
2019 별빛사투리 경연대회,교육문화센터 우석홀,,,,행사/축제
파크골프대회,영천시파크골프장(조교동),,,조교동,행사/축제
한여름 밤 시민을 위한 음악회,조양각 특설무대(영천문화원 옆),,,,행사/축제
다문화가족과 더불어가는 세상,임고서원,,,,행사/축제
6.25전쟁 제69주년 행사,시민회관,,,,행사/축제
김덕순 서양화 개인展,예술창작스튜디오 1전시실,,,,행사/축제
김덕순 서양화 개인展,예술창작스튜디오 2전시실,,,,행사/축제
영천축협 조합원 한마음대회,시민회관 스타홀,,,,행사/축제
호국보훈 나라사랑 골든벨,영천전투메모리얼파크 체험권,,,,행사/축제
제1회 푸른동요대회 개최,시민회관,,,,행사/축제
3대가 함께하는 가화만사성 개최,교육문화센터 우석홀,,,,행사/축제
문화가 있는 날 - 공연산책 뮤직 나들이,오감공예체험장 전정,,,,행사/축제
민선7기 제10대 시장 취임 1주년 지역경제 활성화 현장 방문,㈜화신(언하공장),,,,행사/축제
대학생 공공기관 직무체험 사업 실시,문화재연구원,,,,행사/축제
대학생 공공기관 직무체험 사업 실시,임베디드기술연구원,,,,행사/축제
대학생 공공기관 직무체험 사업 실시,하이브리브부품연구원,,,,행사/축제
영천별빛한우 발대식,영천축협 TMF 공장 회의실(2층),,,,행사/축제
전통시장 투어,은해사,,,,행사/축제
전통시장 투어,영천공설시장,,,,행사/축제
제13회 경북지적발달장애인 복지대회 개최,교육문화센터,,,,행사/축제
The(더) 공감 인문학 7월 강좌 개강,교육문화센터 회의실,,,,행사/축제
이통장 워크숍 및 한마음 체육대회,영천체육관,,,,행사/축제
뚝딱하니 어흥!,시민회관 스타홀,,,,행사/축제
청소년지원센터 꿈드림 아웃리치 활동,영천여중 교문 앞,,,,행사/축제
(사)대한노인회 영천시지회 부설 노인대학 특강,영천시종합복지센터 1층 강당,,,,행사/축제
경북 7월의 독립운동가 이진영이원대 강연회,시립도서관 지산홀,,,,행사/축제
2019년 시민행복아카데미 7월 특강 개최,교육문화센터 우석홀,,,,행사/축제
찾아가는자원봉사교육,영천성남여자고등학교 체육관,,,,행사/축제
6대 암 건강강좌,영천시민회관,,,,행사/축제
제19회 화목한 가정만들기 실천개회 개최,교육문화회관 우석홀,,,,행사/축제
4차 산업혁명 캠퍼스 직원특강 실시,영천시립도서관 지산홀,,,,행사/축제
시니어클럽 일자리참여자 소양교육 실시,시민회관,,,,행사/축제
대한노인회 영천시지회 부설 노인대학 특강,교육문화센터,,,,행사/축제
문화특화지역 시민설명회,스타컨벤션웨딩 3층 컨벤션홀,,,,행사/축제
작가와의 만남,지산홀,,,,행사/축제
전국고등학교검도선수권대회,영천체육관,,,,행사/축제
전국고등학교검도선수권대회,생활체육관,,,,행사/축제
2019년 길 위의 인문학(2차),문화강의실,,,,행사/축제
2019년 길 위의 인문학(2차),고도리와이너리,,,,행사/축제
경북 농아인 배드민턴 동호인 대회,영천생활체육관,,,,행사/축제
2019 영천시 가족봉사단 체험활동,영화교다리밑,,,,행사/축제
2019 영천시 가족봉사단 체험활동,영천목재문화체험장,,,,행사/축제
여름방학 독서프로그램,문화강의실,,,,행사/축제
울랄라베베 3기,체험형동화구연실,,,체험형동,행사/축제
시민정보화교육 실시,시정보화교육장 등 4개소,,,,행사/축제
직장맘 자녀 안심케어 지원사업(하계),문내주공,,,,행사/축제
직장맘 자녀 안심케어 지원사업(하계),대동다숲,,,대동,행사/축제
직장맘 자녀 안심케어 지원사업(하계),미소지움1차,,,,행사/축제
영천인재양성원 명문대 학교 탐방,고려대학교,,,,행사/축제
영천인재양성원 명문대 학교 탐방,성균관대학교,,,,행사/축제
여름방학 영화상영,지산홀,,,,행사/축제
여름방학자원봉사학교,영화교다리,,,,행사/축제
2019 지역문예회관 문화가 있는날,시민회관 야외광장,,,,행사/축제
영천시 사회적 경제기업 육성 및 지원사업 설명회,교육문화센터 회의실,,,,행사/축제
친환경과원관리사업 GAP병해충예찰 컨설팅 및 교육,농업인회관 2층,,,,행사/축제
"한돈협회, 돼지고기 나눔 행사 개최",영천시청 전정,,,,행사/축제
영천별빛한우 브랜드 사업설명회 개최,농업기술센터 별관 2층 대강당,,,,행사/축제
"2nd STUDIO, 2019 영천예술창작스튜디오 특별전",시안미술관 별관,,,,행사/축제
여름방학자원봉사학교,多나눔센터 교육실,,,,행사/축제
영천로타리클럽 실버카페 기증식,영천시 무궁화길 20 2층(현대자동차 영천지점 2층),,,현대자동,행사/축제
POP 일러스트 교육,多나눔센터 교육실,,,,행사/축제
배드민턴 동호인 한마당,금호체육관,,,,행사/축제
찾아가는 미술관「경북의 맥」,"영천예술창작스튜디오 1, 2전시실",,,,행사/축제
박상민&서영은과 함께하는 시민행복콘서트,시민회관 스타홀,,,,행사/축제
식품가공기능사 전문기능 교육,농업기술센터 별관 1층 조리실,,,,행사/축제
재)영천시장학회 2019년 싱가폴&말레이시아 어학연수 수료식,시립도서관 지산홀,,,,행사/축제
디즈니 명작 음악회,시민회관 스타홀,,,,행사/축제
문화특화지역 조성 간담회,지산홀,,,,행사/축제
「기방도령」 영화상영,시민회관 스타홀,,,,행사/축제
제3회 협회장기 게이트볼 대회 개최,영천게이트볼구장,,,,행사/축제
영천와인학교 소믈리에 양성과정 교육,영천시농업기술센터 와인학교 2층,,,,행사/축제
The(더) 공감 인문학 9월 강좌 수강생 모집,교육문화센터,,,,행사/축제
임란영천성수복대첩기념 학술세미나,교육문화센터 우석홀,,,,행사/축제
<2019 지역문예회관 문화가 있는 날> “소풍”,영천성남여자고등학교,,,,행사/축제
한(寒)여름밤! 국악과 만나는 인문학,영천향교 명륜당,,,,행사/축제
신품종‘아리수’사과 현장 평가회,박정하 농장(화남면 구전로 274-9),,,화남면,행사/축제
제9회 실버가요제 및 예능경연대회,영천시민회관,,,,행사/축제
함께하는 추석명절 행福나눔행사,영천시종합복지센터 회의실(1층),,,,행사/축제
영천별빛한우 명품 구이축제 및 한우경진대회,영천 강변공원,,,,행사/축제
제20회 신녕지구전투 호국 영령 합동위령제,신녕지구 전승비,,,,행사/축제
제17회 찾아가는 역사박물관 기획전시,영천시민회관 로비,,,,행사/축제
추석맞이 영천사랑상품권 특별 할인판매,관내 농축협,,,,행사/축제
추석맞이 영천사랑상품권 특별 할인판매,관내대구은행,,,,행사/축제
추석맞이 영천사랑상품권 특별 할인판매,관내새마을금고,,,,행사/축제
추석맞이 영천사랑상품권 특별 할인판매,관내신협,,,,행사/축제
"<추석맞이 특별공연>해설이 있는 춤, 소리 그리고 놀자",시민회관 스타홀,,,,행사/축제
문학영천 출판기념회 및 시 낭송회,영천문화원,,,,행사/축제
영천시종합사회복지관 추석명절행사,야사주공 3단지 관리사무소 옆 공터,,,,행사/축제
DGB사회공헌재단과 함께 하는 추석맞이 무료급식,영천시장애인종합복지관,,,,행사/축제
체류형농업창업지원센터 입교 개강식,체류형농업창업지원센터 세미나실,,,,행사/축제
광대들 영화상영,시민회관 스타홀,,,,행사/축제
시민행복아카데미 9월 특강 개최,교육문화센터 우석홀,,,,행사/축제
경북 국가유공자 가족 나라사랑 한마음대회,육군3사관학교(충성관),,,,행사/축제
오색바림회 민화 정기 회원展,"예술창작스튜디오 1, 2전시실",,,,행사/축제
은해사 전국 어린이 청소년 미술대전,은해사 경내,,,,행사/축제
가족오페라 마술피리,시민회관 스타홀,,,,행사/축제
왕평가요제 예심,교육문화센터 우석홀,,,,행사/축제
지역문예회관 문화가 있는 날,북안면복지회관,,,북안면,행사/축제
여성채용미니박람회,교육문화센터 1층 우석홀 일원,,,,행사/축제
사뿐사뿐 나비처럼 발표회,시민회관 스타홀,,,,행사/축제
KBS 전국노래자랑 예심,영천시민회관,,,,행사/축제
별빛배 전국 게이트볼 대회,영천 단포축구장,,,,행사/축제
별빛찻자리 개최,영천문화원 조양각,,,,행사/축제
경북도민문화 한마당 행사,은해사 내 육화원 운동장,,,운동,행사/축제
민관군 친선축구대회,영천 단포축구장,,,,행사/축제
어린이 건강뮤지컬,시민회관 스타홀,,,,행사/축제
영천대첩 기념행사,국립영천호국원 영첩대첩비,,,,행사/축제
영천큰장 고객사은대잔치,영천공설시장 3층 주차장,,,,행사/축제
은해사 1210주년 개산대재,은해사,,,,행사/축제
국학기공 대회 개최,영천 교육문화센터 우석홀,,,,행사/축제
스타배 전국족구대회,영천시민운동장,,,영천시민운동,행사/축제
영천관광 사진 공모전 전시,은해사,,,,행사/축제
숭렬당 추향제,숭렬당,,,,행사/축제
향군의 날 기념식 및 안보결의대회,영천호국원 현충관,,,,행사/축제
향군의 날 기념식 및 안보결의대회,호국기념관,,,,행사/축제
양정자 짚풀공예 개인전,영천예술창작스튜디오1관,,,,행사/축제
양정자 짚풀공예 개인전,영천예술창작스튜디오2관,,,,행사/축제
노인의 날 행사,시민회관,,,,행사/축제
4차산업시대 왜 평생교육인가,교육문화센터 우석홀,,,,행사/축제
엑시트 영화상영,시민회관 스타홀,,,,행사/축제
영천댐 별빛 걷기대회,영천댐공원,,,,행사/축제
체류형농업창업지원센터 준공식 개최,체류형농업창업지원센터,,,,행사/축제
시장기 파크골프대회,조교동 파크골프장,,,조교동,행사/축제
어린이 교통안전 뮤지컬,시민회관 스타홀,,,,행사/축제
가을밤 시민을 위한 음악회,조양각 특설무대,,,,행사/축제
제18회 미목회 정기展,예술창작스튜디오 1전시실,,,,행사/축제
제18회 미목회 정기展,예술창작스튜디오 2전시실,,,,행사/축제
청소년상담 강연회,교육문화센터 강당,,,,행사/축제
청소년 가요댄스 경연대회,영천강변공원 분수광장,,,,행사/축제
국가유공자 나라사랑 한마음대회,시민회관,,,,행사/축제
한국농촌지도자영천시연합회 한마음대회,영천생활체육관,,,,행사/축제
영천예술창작스튜디오 제11기 입주작가 작품전시,예술창작스튜디오 1전시실,,,,행사/축제
영천예술창작스튜디오 제11기 입주작가 작품전시,예술창작스튜디오 2전시실,,,,행사/축제
경북학생체육대회(태권도),최무선관,,,,행사/축제
거조사 나한대재,거조사,,,,행사/축제
새마을 알뜰 무료 도서교환 시장,시립도서관 앞 공터,,,,행사/축제
창의정용군-이름없는 들풀이여,시민회관 스타홀,,,,행사/축제
포은선생 충효정신 선양 전국 한시백일장,임고서원 충효문화수련원,,,,행사/축제
시장기 골프대회,오펠GC,,,,행사/축제
경상북도학생체육대회,시민운동장,,,시민운동,행사/축제
영화상영(봉오동전투),시민회관,,,,행사/축제
영천사생회전,영천예술창작스튜디오 1전시실,,,,행사/축제
영천사생회전,영천예술창작스튜디오 2전시실,,,,행사/축제
시장기 게이트볼대회,영천게이트볼장,,,,행사/축제
어린이집 부모교육 실시,교육문화센터 우석홀,,,,행사/축제
시장기 그라운드골프대회,단포축구장,,,,행사/축제
영천아리랑전국경창대회,시민회관,,,,행사/축제
보훈가족 어울림마당,시민회관,,,,행사/축제
아이와 함께 자라는 부모,교육문화센터 우석홀,,,,행사/축제
영천시민 가을음악회,영천시민회관,,,,행사/축제
입주작가 릴레이전 part2,영천예술창작스튜디오 1전시실,,,,행사/축제
입주작가 릴레이전 part2,영천예술창작스튜디오 2전시실,,,,행사/축제
사랑 나눔 바자회,장애인종합복지관,,,,행사/축제
영화상영(나쁜녀석들),시민회관,,,,행사/축제
영천시장기 탁구대회,영천체육관,,,,행사/축제
영천시장기 탁구대회,생활체육관,,,,행사/축제
백신애문학제,교육문화센터,,,,행사/축제
6.25전사자 합동영결식,영천호국원 현충관,,,,행사/축제
신녕면 행복학습센터 종강식,신녕면 복지회관,,,신녕면,행사/축제
백신애 적빈(赤貧) 연극,영천시민회관 스타홀,,,,행사/축제
우리농업살리기 후원주점 행사,SD웨딩컨벤션 2층 연회장,,,,행사/축제
애니메이션 음악 콘서트,영천시립도서관 지산홀,,,,행사/축제
다둥이가족 사랑 축제,영천시민회관,,,,행사/축제
전몰 학도의용군 추념식,국립영천호국원,,,,행사/축제
포은서예휘호대회,임고복지회관,,,,행사/축제
경북유림총화대회 및 인성교육평가회,시민회관,,,,행사/축제
영천예술창작스튜디오 제11기 입주작가 릴레이전(part3)&오픈스튜디오,영천예술창작스튜디오 1전시실,,,,행사/축제
영천예술창작스튜디오 제11기 입주작가 릴레이전(part3)&오픈스튜디오,영천예술창작스튜디오 2전시실,,,,행사/축제
스타배 배드민턴 대회,영천체육관,,,,행사/축제
스타배 배드민턴 대회,생활체육관,,,,행사/축제
스타배 배드민턴 대회,금호체육관,,,,행사/축제
한방김장김치 담그기 행사,농업기술센터 구내식당,,,,행사/축제
최무선과학관 학부모 과학교실 특강,최무선과학관 창의과학체험실,,,,행사/축제
경북 동호인 화합 축구대회,단포축구장,,,,행사/축제
영화상영(가장보통의연애),시민회관,,,,행사/축제
문화가 있는 날-우리춤이야기,대창면 문화센터,,,대창면,행사/축제
별빛유아숲체험원 개원식,영천시 망정동 산14-5번지,,,망정동,행사/축제
새마을 사랑의 김장 담가주기 행사,영천시새마을회관 앞 마당,,,,행사/축제
귀농인 한마음대회,영천체육관,,,,행사/축제
매직 버블쇼 도서관에서 즐겨요!,영천시립도서관 지산홀,,,,행사/축제
영천대마기 전국종합마술 축제,운주산승마조련센터,,,,행사/축제
크리스마스트리문화축제 점등식,시민회관 일대,,,,행사/축제
영천YMCA 2019 사랑의 김장나누기,영천시종합복지센터 지하 1층,,,,행사/축제
축산연합회 한마음단합대회,생활체육관,,,,행사/축제
학교폭력예방 뮤지컬,시민회관 스타홀,,,,행사/축제
예술창작스튜디오 제11기 입주작가 릴레이전(part4)&오픈스튜디오,영천예술창작스튜디오 1전시실,,,,행사/축제
예술창작스튜디오 제11기 입주작가 릴레이전(part4)&오픈스튜디오,영천예술창작스튜디오 2전시실,,,,행사/축제
고3 청소년 꿈 토크 콘서트,시민회관,,,,행사/축제
자원봉사자 대회 및 기념식,영천체육관,,,,행사/축제
시민과 함께하는 2019 아트 페스티벌,영천시민회관 스타홀,,,,행사/축제
경북 협회장기 태권도대회,영천체육관,,,,행사/축제
시민정보화교육 동계특강,IT플라자,,,,행사/축제
시민정보화교육 동계특강,금호읍 정보화교육장,,,금호읍,행사/축제
찾아가는 역사박물관 경북순회전시,의성고등학교 체육관,,,,행사/축제
영천시농민회 한마음대회 행사,임고면 복지회관,,,임고면,행사/축제
생명살림운동 실천 재활용품 수집 경진대회,영천강변공원 주차장,,,,행사/축제
시각장애인연합회 후원인 송년의 날 행사,스타컨벤션웨딩 2층,,,,행사/축제
시민사회교육 수료식 및 어울림한마당,교육문화센터 우석홀,,,,행사/축제
하이테크파크지구 개발사업 사업착수식,영천시 녹전동 양호길 55 일원,,,녹전동,행사/축제
채약문묵회 제20회 전시회,영천예술창작스튜디오 1전시실,,,,행사/축제
채약문묵회 제20회 전시회,영천예술창작스튜디오 2전시실,,,,행사/축제
유리바다 합창단 정기연주회,시민회관,,,,행사/축제
결혼이민여성 한국어 교육 수료식,건강가정다문화가족지원센터,,,,행사/축제
송년단합 및 안보결의대회,영천한정식,,,,행사/축제
영천별빛한우 브랜드 교육,센터 강당,,,,행사/축제
나는 밴드다 공연,교육문화센터 우석홀,,,,행사/축제
별빛회 15주년 기념행사,SD웨딩컨벤션,,,,행사/축제
명사초청특강 및 문화가족한마당,영천시민회관,,,,행사/축제
(사)한국미술협회 영천지부 회원전,영천시민회관,,,,행사/축제
(사)한국척수장애인 송년의날,장애인회관 2층,,,,행사/축제
재대구영천향우회 정기총회 및 회장 이취임식,호텔인터불고,,,,행사/축제
바르게살기운동영천시협의회 선진시민의식함양 실천결의대회,임고서원 충효문화수련원,,,,행사/축제
지역사회보장협의체 워크숍,영천상공회의소 컨퍼런스 홀,,,,행사/축제
영천향교 국학학원 학예발표회,영천향교 국학학원 3층 대강당,,,,행사/축제
김은정피아노 연주회,교육문화센터 우석홀,,,,행사/축제
영화상영(82년생 김지영),시민회관 스타홀,,,,행사/축제
영천별빛한우 경과보고 및 홍보 시식행사,영천축협 한우프라자,,,,행사/축제
자연보호 산불 조심 캠페인 추진,관내 산지 및 등산로 일대,,,,행사/축제
시민과 함께하는 송년음악회,영천시민회관 스타홀,,,,행사/축제
컴퓨터 동계 특강,아이존IT플라자,,,,행사/축제
컴퓨터 동계 특강,금호읍 정보화교육장,,,금호읍,행사/축제
컴퓨터 동계 특강,시정보화교육장,,,,행사/축제
2020 영천문화원 신년교례회,영천문화원 2층 대강당,,,,행사/축제
2020 새해농업인실용교육(포도),고경면복지회관,,,고경면,행사/축제
2020 새해농업인실용교육(복숭아),농업기술센터 강당,,,,행사/축제
영천와인학교 소믈리에 자격검정 필기시험,농업기술센터 와인학교 2층 강의실,,,,행사/축제
독서문화 프로그램,영천시립도서관,,,,행사/축제
1월 안전점검의 날 캠페인 실시,(구)망정사거리,,,,행사/축제
영천와인학교 소믈리에 양성과정 교육,영천시농업기술센터 와인학교 2층 강의실,,,,행사/축제
2020 새해농업인실용교육(복숭아),금호읍회의실,,,금호읍,행사/축제
2020 새해농업인실용교육(포도),북안면복지회관,,,북안면,행사/축제
시민사회교육 수강생 모집,교육문화센터,,,,행사/축제
시민문화교실 민요반 개강식,시민회관,,,,행사/축제
새해농업인실용교육(포도),금호농협APC 회의실,,,,행사/축제
무용학원 정기발표회,시민회관 스타홀,,,,행사/축제
새해농업인실용교육(포도),화남면다목적회관,,,화남면,행사/축제
새해농업인실용교육(복숭아),화산면복지회관,,,화산면,행사/축제
초등학생 리더십 강의,교육문화센터 회의실,,,,행사/축제
여성 신년인사회 개최,스타컨벤션웨딩,,,,행사/축제
태권도 관장 직무교육,시민회관 스타홀,,,,행사/축제
아이돌보미 양성과정 교육,교육문화센터 강의실,,,,행사/축제
직장맘 자녀 안심케어 사업 운영,교육문화센터,,,,행사/축제
여성기업인 간담회,든담(화남면 신선로 113),,,화남면,행사/축제
안전점검의 날 캠페인 실시,서문육거리,,,,행사/축제
자원봉사단체 간담회,다나눔센터 1층 교육실,,,,행사/축제
영천축협 정기총회,영천축협 본점 회의실 3층,,,,행사/축제
영천시 산림조합 제59기 정기총회,영천시 산림조합 3층 회의실,,,,행사/축제
건강체중 만들기 프로그램(1기) 참가자 모집,영천시 보건소 3층,,,,행사/축제
지적장애인 정기총회,금노동 장애인회관 식당,,,금노동,행사/축제
관광사진공모전 입상작품 전시,최무선과학관,,,,행사/축제
오리장림 자연유산 민속행사,오리장림,,,,행사/축제
무료급식 실시,영천시장애인종합복지관 식당,,,,행사/축제
6.25참전유공자회 정기총회,영천한정식,,,,행사/축제
2020년도 농정시책설명회,금호읍 행정복지센터,,,금호읍,행사/축제
제1회 영천한약축제,(구)공병대,,,,행사/축제
제1회 영천한약축제,도동생약유통단지,,,도동,행사/축제
제2회 영천한약축제,(구)공병대,,,,행사/축제
제3회 영천한약축제,(구)공병대,,,,행사/축제
제4회 영천한약축제,완산동 약초거리 일원,,,완산동,행사/축제
제5회 영천한약축제,완산동 약초거리 일원,,,완산동,행사/축제
제5회 영천한약축제,도동한약유통단지,,,도동,행사/축제
제6회 영천한약축제,금호강 둔치,,,,행사/축제
제7회 영천한약축제,시청앞 금호강 둔치,,,,행사/축제
제8회 영천한약장수축제,완산동 영천역전,,,완산동,행사/축제
제9회 영천한약장수축제,영천역광장,,,,행사/축제
제9회 영천한약장수축제,약령시장,,,,행사/축제
제9회 영천한약장수축제,도동한약유통단지,,,도동,행사/축제
영천과일한약장수축제,영천금호강 강변공원,,,,행사/축제
영천과일한약장수축제,약전거리,,,,행사/축제
영천과일한약장수축제,한약유통단지,,,,행사/축제
영천한약과일축제,영천강변공원,,,,행사/축제
영천한약축제,약전거리,,,,행사/축제
영천한약축제,한약유통단지,,,,행사/축제
제1회 2004 보현산 별빛문화축제,보현 자연수련원,,,,행사/축제
제1회 2004 보현산 별빛문화축제,별빛마을,,,,행사/축제
제2회 2005 보현산 별빛문화축제,별빛마을,,,,행사/축제
제2회 2005 보현산 별빛문화축제,녹색농촌체험마을,,,,행사/축제
제3회 2006 보현산 별빛축제,보현산자락,,,,행사/축제
제4회 2007 보현산 별빛축제,검단마을,,,,행사/축제
제5회 2008 영천 보현산 별빛축제,검단마을,,,,행사/축제
제5회 2008 영천 보현산 별빛축제,별빛마을,,,,행사/축제
제6회 2009 영천 보현산 별빛축제,보현산천문과학관(정각리 별빛마을),,,,행사/축제
제6회 2009 영천 보현산 별빛축제,보현산천문대,,,,행사/축제
제6회 2009 영천 보현산 별빛축제,보현리 은하수마을,,,,행사/축제
제7회 2010 영천 보현산 별빛축제,보현산천문과학관(별빛마을),,,,행사/축제
