,ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
1106,KCLANPO23N000001107,장소,관광지,7777557,드림랜드캠핑장,,,60520,캠핑장,4723038029103880000,경상북도,영천시,고경면,용전리,388,4723038029,4723038000,472304730030.0,고도길,38,129.0002734,35.98388784,마마352773,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
1337,KCLANPO23N000001338,장소,관광지,8268396,공산폭포,,,60504,폭포/계곡,4723032021201430000,경상북도,영천시,신녕면,치산리,산143,4723032021,4723032000,,,,128.7226482,36.02831738,마마101819,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
1569,KCLANPO23N000001570,장소,관광지,8268665,안흥폭포,,,60504,폭포/계곡,4723031030200250001,경상북도,영천시,청통면,치일리,산25-1,4723031030,4723031000,472303354069.0,은해사로,417-197,128.7695037,35.98712346,마마144774,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
1719,KCLANPO23N000001720,장소,관광지,8268847,팔공폭포,,,60504,폭포/계곡,4723032021201430000,경상북도,영천시,신녕면,치산리,산143,4723032021,4723032000,,,,128.7204147,36.03047459,마마099822,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2164,KCLANPO23N000002165,장소,관광지,8269598,옥간정,,,60603,유명사적/유적지,4723034030104390003,경상북도,영천시,화북면,횡계리,439-3,4723034030,4723034000,472303310010.0,별빛로,122,128.9479378,36.11477918,마마303918,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2465,KCLANPO23N000002466,장소,관광지,8269983,산수정,,,60603,유명사적/유적지,4723037024110200000,경상북도,영천시,임고면,삼매리,1020,4723037024,4723037000,472304730291.0,삼매매곡길,356-6,128.9767019,36.0731488,마마329872,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2470,KCLANPO23N000002471,장소,관광지,8269989,유금사3층석탑,,,60606,비/탑/문/각,4723034029202260000,경상북도,영천시,화북면,정각리,산226,4723034029,4723034000,,,,128.9929922,36.1509422,마마343959,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2509,KCLANPO23N000002510,장소,관광지,8270033,숭열당,,,60605,보물,4723010900100090002,경상북도,영천시,성내동,,9-2,4723010900,4723053500,472304730378.0,숭렬당길,1,128.9289225,35.96640578,마마288753,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2534,KCLANPO23N000002535,장소,관광지,8270059,청제비,,,60605,보물,4723012600200070001,경상북도,영천시,도남동,,산7-1,4723012600,4723055500,,,,128.9408883,35.92510698,마마299707,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2794,KCLANPO23N000002795,장소,관광지,8270362,강호정,,,60608,고택/생가/민속마을,4723036028200780007,경상북도,영천시,자양면,성곡리,산78-7,4723036028,4723036000,,,,129.015677,36.07802926,마마364878,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2809,KCLANPO23N000002810,장소,관광지,8270386,독낙당,,,60608,고택/생가/민속마을,4723036025102630000,경상북도,영천시,자양면,용산리,263,4723036025,4723036000,472304730536.0,원각길,50-76,129.0364961,36.08998244,마마383892,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2907,KCLANPO23N000002908,장소,관광지,8270511,용계서원,,,60609,서원/향교/서당,4723036025103030000,경상북도,영천시,자양면,용산리,303,4723036025,4723036000,472304730536.0,원각길,45-4,129.0354814,36.0896353,마마382891,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2947,KCLANPO23N000002948,장소,관광지,8270556,도계서원,,,60609,서원/향교/서당,4723039030200040000,경상북도,영천시,북안면,도천리,산4,4723039030,4723039000,472304730405.0,신평탑골길,93-59,129.0230188,35.88911069,마마374669,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
2964,KCLANPO23N000002965,장소,관광지,8270583,임고서원,,,60609,서원/향교/서당,4723037021104930000,경상북도,영천시,임고면,양항리,493,4723037021,4723037000,472303018008.0,포은로,447,128.9732314,36.01665848,마마327809,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
3402,KCLANPO23N000003403,장소,관광지,8292185,치산관광지,,,60513,일반관광지,4723032021115760000,경상북도,영천시,신녕면,치산리,1576,4723032021,4723032000,,,,128.7114429,36.04941098,마마091842,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
3497,KCLANPO23N000003498,장소,관광지,8292372,돌할매,,,60513,일반관광지,4723039038102210000,경상북도,영천시,북안면,관리,221,4723039038,4723039000,472303310007.0,돌할매로,484,129.045879,35.93982711,마마394725,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
3528,KCLANPO23N000003529,장소,관광지,8292453,보현산천문대,,,60514,유명관광지,4723034029100730013,경상북도,영천시,화북면,정각리,73-13,4723034029,4723034000,472304730586.0,정각길,475,128.9760114,36.16358314,마마327972,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
3673,KCLANPO23N000003674,장소,관광지,8292796,치산관광온천랜드,,,60514,유명관광지,4723032021201250012,경상북도,영천시,신녕면,치산리,산125-12,4723032021,4723032000,472304730656.0,치산관광길,313,128.7152346,36.04564777,마마094838,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
4358,KCLANPO23N000004359,장소,관광지,10252851,약수관광농원,,,60516,관광농원/허브마을,4723038029103880000,경상북도,영천시,고경면,용전리,388,4723038029,4723038000,472304730030.0,고도길,38,129.0002219,35.98417579,마마352774,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
4495,KCLANPO23N000004496,장소,관광지,10253028,별빛포도마을,,,60519,정보화마을,4723035024106130002,경상북도,영천시,화남면,사천리,613-2,4723035024,4723035000,,,,128.9191639,36.0392576,마마278834,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
4656,KCLANPO23N000004657,장소,관광지,10282564,포은정몽주유허비,,,60606,비/탑/문/각,4723037031102870004,경상북도,영천시,임고면,우항리,287-4,4723037031,4723037000,,,,128.9855375,36.00615259,마마338798,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
4736,KCLANPO23N000004737,장소,관광지,10607914,임란의병한천전승첩탑,,,60606,비/탑/문/각,4723035027100360000,경상북도,영천시,화남면,삼창리,36,4723035027,4723035000,,,,128.8997398,36.06936736,마마260867,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
4806,KCLANPO23N000004807,장소,관광지,10683816,영산전,,,60604,국보,4723031034200910000,경상북도,영천시,청통면,신원리,산91,4723031034,4723031000,,,,128.764282,36.01963082,마마139810,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
4965,KCLANPO23N000004966,장소,관광지,10684354,청동보살좌상,,,60605,보물,4723031030105550000,경상북도,영천시,청통면,치일리,555,4723031030,4723031000,472303354069.0,은해사로,660,128.7592134,36.00374618,마마134792,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
4966,KCLANPO23N000004967,장소,관광지,10684355,화남동삼층석탑,,,60605,보물,4723032024104990000,경상북도,영천시,신녕면,화남리,499,4723032024,4723032000,,,,128.7665491,36.08405382,마마140881,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
4968,KCLANPO23N000004969,장소,관광지,10684358,극락전수미단,,,60605,보물,4723031030105490000,경상북도,영천시,청통면,치일리,549,4723031030,4723031000,472303354069.0,은해사로,417-144,128.7680085,35.99657068,마마142784,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
4975,KCLANPO23N000004976,장소,관광지,10684370,영천향교대성전,,,60605,보물,4723010700100460001,경상북도,영천시,교촌동,,46-1,4723010700,4723053500,472304730058.0,교촌길,34,128.928213,35.96996114,마마287757,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
4978,KCLANPO23N000004979,장소,관광지,10684375,선원동철불좌상,,,60605,보물,4723037022107480000,경상북도,영천시,임고면,선원리,748,4723037022,4723037000,472304730703.0,환구길,125-6,128.9696326,36.03858182,마마323834,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
5058,KCLANPO23N000005059,장소,관광지,10802760,신월동삼층석탑,,,60605,보물,4723025028104190001,경상북도,영천시,금호읍,신월리,419-1,4723025028,4723025000,,,,128.898717,35.93687641,마마261720,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
5347,KCLANPO23N000005348,장소,관광지,10806891,자천리오리장림,,,60607,천연기념물,4723034021114210001,경상북도,영천시,화북면,자천리,1421-1,4723034021,4723034000,,,,128.9149593,36.10420519,마마273906,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
5443,KCLANPO23N000005444,장소,관광지,11259343,운주산승마자연휴양림,,,60503,휴양림/수목원,4723037025200380000,경상북도,영천시,임고면,평천리,산38,4723037025,4723037000,,,,128.9960381,36.03709372,마마347832,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
6324,KCLANPO23N000006325,장소,관광지,11297512,동봉석조약사여래입상,,,60603,유명사적/유적지,4723032021201410005,경상북도,영천시,신녕면,치산리,산141-5,4723032021,4723032000,,,,128.697247,36.01374462,마마078803,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
7257,KCLANPO23N000007258,장소,관광지,11385509,별빛마을,,,60518,팜스테이,4723034029107730000,경상북도,영천시,화북면,정각리,773,4723034029,4723034000,,,,128.9939495,36.13972687,마마344946,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
7263,KCLANPO23N000007264,장소,관광지,11385516,오룡리누에마을,,,60518,팜스테이,4723038044101970000,경상북도,영천시,고경면,오룡리,197,4723038044,4723038000,472304730478.0,오배길,35-17,129.1330987,36.01482744,마마471810,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9106,KCLANPO23N000009107,장소,관광지,13661152,영천한약축제,,,60523,지역축제,4723011300112690001,경상북도,영천시,완산동,,1269-1,4723011300,4723052000,,,,128.9396038,35.97003541,마마298757,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9107,KCLANPO23N000009108,장소,관광지,13661154,영천시민축제,,,60523,지역축제,4723010700102880004,경상북도,영천시,교촌동,,288-4,4723010700,4723053500,472303310022.0,운동장로,54,128.9243716,35.96802709,마마284755,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9108,KCLANPO23N000009109,장소,관광지,13661155,보현산별빛축제,,,60523,지역축제,4723034029106890000,경상북도,영천시,화북면,정각리,689,4723034029,4723034000,472303310010.0,별빛로,681-32,128.9964783,36.140236,마마346947,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9109,KCLANPO23N000009110,장소,관광지,13661156,영천골벌문화예술제,,,60523,지역축제,4723010500101950003,경상북도,영천시,문외동,,195-3,4723010500,4723052000,,,,128.9373493,35.9723338,마마295760,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9470,KCLANPO23N000009471,장소,관광지,13676425,거조암삼층석탑,,,60606,비/탑/문/각,4723031034106210002,경상북도,영천시,청통면,신원리,621-2,4723031034,4723031000,,,,128.7650525,36.01980426,마마139810,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9494,KCLANPO23N000009495,장소,관광지,13676510,은해사대웅전,,,60603,유명사적/유적지,4723031030104790000,경상북도,영천시,청통면,치일리,479,4723031030,4723031000,472303354069.0,은해사로,300,128.789903,35.99232283,마마162780,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9499,KCLANPO23N000009500,장소,관광지,13676517,신녕향교대성전,,,60603,유명사적/유적지,4723032027105250000,경상북도,영천시,신녕면,화성리,525,4723032027,4723032000,472304730663.0,큰골길,30-7,128.7913212,36.04859371,마마163842,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9525,KCLANPO23N000009526,장소,관광지,13676652,보성리암각화,,,60603,유명사적/유적지,4723031023106830003,경상북도,영천시,청통면,보성리,683-3,4723031023,4723031000,472303310024.0,청통로,492,128.8406122,35.99402726,마마208783,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9553,KCLANPO23N000009554,장소,관광지,13676708,귀애정,,,60603,유명사적/유적지,4723035028106440000,경상북도,영천시,화남면,귀호리,644,4723035028,4723035000,472304730078.0,귀호1길,37-25,128.8736523,36.05742156,마마237853,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9557,KCLANPO23N000009558,장소,관광지,13676723,금산당,,,60603,유명사적/유적지,4723025036102750000,경상북도,영천시,금호읍,오계리,275,4723025036,4723025000,472304730601.0,종동길,23,128.8903373,35.90663718,마마254686,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9558,KCLANPO23N000009559,장소,관광지,13676724,만취당,,,60603,유명사적/유적지,4723025036102710000,경상북도,영천시,금호읍,오계리,271,4723025036,4723025000,472304730601.0,종동길,25,128.8907418,35.9067707,마마254686,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9570,KCLANPO23N000009571,장소,관광지,13676746,유후재,,,60606,비/탑/문/각,4723040029102100001,경상북도,영천시,대창면,대재리,210-1,4723040029,4723040000,472303310027.0,칠백로,64-39,128.907383,35.87824402,마마270655,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9573,KCLANPO23N000009574,장소,관광지,13676751,이대전유허비,,,60606,비/탑/문/각,4723012000106170000,경상북도,영천시,대전동,,617,4723012000,4723053500,472304730377.0,순흥길,5-74,128.9120196,35.9816096,마마272770,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9574,KCLANPO23N000009575,장소,관광지,13676762,호수종택,,,60608,고택/생가/민속마을,4723012000100520000,경상북도,영천시,대전동,,52,4723012000,4723053500,472304730141.0,대전길,137-35,128.915682,35.98908828,마마276778,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9575,KCLANPO23N000009576,장소,관광지,13676764,양계정사,,,60603,유명사적/유적지,4723012000100070000,경상북도,영천시,대전동,,7,4723012000,4723053500,472304730631.0,창동길,7-18,128.9167921,35.99169748,마마277781,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9579,KCLANPO23N000009580,장소,관광지,13676771,지산고택,,,60608,고택/생가/민속마을,4723040027106990000,경상북도,영천시,대창면,신광리,699,4723040027,4723040000,472304730462.0,영지길,117-9,128.9221303,35.85671539,마마284631,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9582,KCLANPO23N000009583,장소,관광지,13676777,영천향교,,,60609,서원/향교/서당,4723010700100460001,경상북도,영천시,교촌동,,46-1,4723010700,4723053500,472304730058.0,교촌길,34,128.928213,35.96996114,마마287757,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9584,KCLANPO23N000009585,장소,관광지,13676785,약남리회화나무,,,60603,유명사적/유적지,4723025032100820000,경상북도,영천시,금호읍,약남리,82,4723025032,4723025000,,,,128.9319712,35.90154593,마마292681,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9585,KCLANPO23N000009586,장소,관광지,13676786,조양각,,,60606,비/탑/문/각,4723010600100010002,경상북도,영천시,창구동,,1-2,4723010600,4723052000,,,,128.9329909,35.96698372,마마292754,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9590,KCLANPO23N000009591,장소,관광지,13676800,모고헌,,,60603,유명사적/유적지,4723034030104570003,경상북도,영천시,화북면,횡계리,457-3,4723034030,4723034000,472303310010.0,별빛로,106,128.9464939,36.11554027,마마301919,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
9591,KCLANPO23N000009592,장소,관광지,13676802,도잠서원,,,60609,서원/향교/서당,4723040026101450001,경상북도,영천시,대창면,용호리,145-1,4723040026,4723040000,472304730462.0,영지길,405,128.9460485,35.84807478,마마305622,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
