,ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
14374,KCLANPO23N000014375,장소,관광지,16486421,서원,,,60609,서원/향교/서당,4723037021105340000,경상북도,영천시,임고면,양항리,534,4723037021,4723037000,472303018008.0,포은로,455,128.9731761,36.0175759,마마327810,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
14375,KCLANPO23N000014376,장소,관광지,16486425,대천서원,,,60609,서원/향교/서당,4723035025104570000,경상북도,영천시,화남면,대천리,457,4723035025,4723035000,472304730147.0,대천2길,18,128.9090396,36.04137683,마마269836,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
14376,KCLANPO23N000014377,장소,관광지,16486427,서원,,,60609,서원/향교/서당,4723035029102810003,경상북도,영천시,화남면,안천리,281-3,4723035029,4723035000,472304730685.0,한천길,163-50,128.8928277,36.07890238,마마254877,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
14377,KCLANPO23N000014378,장소,관광지,16486429,무원서원,,,60609,서원/향교/서당,4723032025107460000,경상북도,영천시,신녕면,왕산리,746,4723032025,4723032000,472303310040.0,치산효령로,152-26,128.7722419,36.05050321,마마145844,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
14495,KCLANPO23N000014496,장소,관광지,16486730,연계서원,,,60609,서원/향교/서당,4723032030101900000,경상북도,영천시,신녕면,연정리,190,4723032030,4723032000,472304730457.0,연정큰길,67,128.8141803,36.05276892,마마183847,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
14542,KCLANPO23N000014543,장소,관광지,16486843,옥산서당,,,60609,서원/향교/서당,4723039021105730000,경상북도,영천시,북안면,상리,573,4723039021,4723039000,472304730283.0,사방길,26-10,128.9901676,35.84950863,마마345624,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
14828,KCLANPO23N000014829,장소,관광지,16499378,영천개코야영장,,,60506,야영장,4723039038101950000,경상북도,영천시,북안면,관리,195,4723039038,4723039000,,,,129.0455343,35.94121013,마마394727,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
15005,KCLANPO23N000015006,장소,관광지,16508680,치산관광지캠핑장,,,60520,캠핑장,4723032021202550000,경상북도,영천시,신녕면,치산리,산255,4723032021,4723032000,472304730656.0,치산관광길,259,128.7132491,36.04862326,마마092842,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
15317,KCLANPO23N000015318,장소,관광지,16567052,정남염소농장,,,60516,관광농원/허브마을,4723040031100740000,경상북도,영천시,대창면,사리리,74,4723040031,4723040000,472304730342.0,선진길,162-44,128.8788871,35.88471786,마마244662,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
15462,KCLANPO23N000015463,장소,관광지,16638280,별별미술마을,,,60513,일반관광지,4723033027106780002,경상북도,영천시,화산면,가상리,678-2,4723033027,4723033000,,,,128.8886592,36.0340108,마마251827,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
15703,KCLANPO23N000015704,장소,관광지,16673817,영천댐공원,,,60513,일반관광지,4723037024100680005,경상북도,영천시,임고면,삼매리,68-5,4723037024,4723037000,472303309040.0,신방로,19,129.0115588,36.0574421,마마361855,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
16096,KCLANPO23N000016097,장소,관광지,16820758,귀애고택,,,60608,고택/생가/민속마을,4723035028106210000,경상북도,영천시,화남면,귀호리,621,4723035028,4723035000,472304730078.0,귀호1길,37-17,128.874225,36.05715302,마마237853,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
16399,KCLANPO23N000016400,장소,관광지,16859471,영천돌할매오토캠핑장,,,60520,캠핑장,4723038037106750000,경상북도,영천시,고경면,삼귀리,675,4723038037,4723038000,,,,129.0576719,35.94471049,마마404731,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
16989,KCLANPO23N000016990,장소,관광지,17021720,삼밭골승마목장글램핑,,,60520,캠핑장,4723010300106190001,경상북도,영천시,야사동,,619-1,4723010300,4723051000,472304730294.0,삼밭골길,102,128.9412066,35.98922334,마마299778,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
