기준연월,목적지 유형,목적지 검색량
202402,전체,38903
202401,전체,34270
202403,전체,48125
202404,전체,56431
202405,전체,76862
202406,전체,58447
202407,전체,63428
202408,전체,73110
202409,전체,74786
202410,전체,70396
202411,전체,53462
202412,전체,35682
202402,기타관광,7260
202402,숙박,2471
202402,음식,10925
202402,쇼핑,2086
202402,문화관광,2451
202402,역사관광,6404
202402,자연관광,1515
202402,체험관광,265
202402,레저스포츠,5526
202401,기타관광,6605
202401,문화관광,1940
202401,숙박,2915
202401,음식,10192
202401,쇼핑,2330
202401,역사관광,4512
202401,자연관광,1294
202401,체험관광,328
202401,레저스포츠,4154
202403,기타관광,7961
202403,숙박,4523
202403,음식,12670
202403,쇼핑,2421
202403,문화관광,4056
202403,역사관광,5718
202403,자연관광,1695
202403,체험관광,602
202403,레저스포츠,8479
202404,기타관광,9548
202404,문화관광,6225
202404,숙박,5357
202404,음식,13231
202404,쇼핑,2505
202404,역사관광,6782
202404,자연관광,2218
202404,체험관광,561
202404,레저스포츠,10004
202405,기타관광,10260
202405,문화관광,13225
202405,숙박,5398
202405,음식,17521
202405,쇼핑,2867
202405,역사관광,11875
202405,자연관광,2588
202405,체험관광,748
202405,레저스포츠,12380
202406,기타관광,7583
202406,문화관광,4362
202406,숙박,5107
202406,음식,18563
202406,쇼핑,2572
202406,역사관광,6047
202406,자연관광,2662
202406,체험관광,833
202406,레저스포츠,10718
202407,기타관광,6233
202407,숙박,4442
202407,음식,30011
202407,쇼핑,2448
202407,문화관광,3267
202407,역사관광,4764
202407,자연관광,2824
202407,체험관광,737
202407,레저스포츠,8702
202408,기타관광,7968
202408,숙박,5851
202408,음식,32106
202408,쇼핑,2802
202408,문화관광,4918
202408,역사관광,5795
202408,자연관광,4406
202408,체험관광,636
202408,레저스포츠,8628
202409,기타관광,8722
202409,문화관광,4120
202409,숙박,4271
202409,음식,31394
202409,쇼핑,3607
202409,역사관광,9582
202409,자연관광,2389
202409,체험관광,843
202409,레저스포츠,9858
202410,기타관광,8725
202410,숙박,5187
202410,음식,27364
202410,쇼핑,2778
202410,문화관광,6087
202410,역사관광,6635
202410,자연관광,2172
202410,체험관광,772
202410,레저스포츠,10676
202411,기타관광,7634
202411,숙박,4739
202411,음식,14903
202411,쇼핑,2813
202411,문화관광,3312
202411,역사관광,7967
202411,자연관광,1722
202411,체험관광,907
202411,레저스포츠,9465
202412,기타관광,5981
202412,문화관광,1914
202412,숙박,2504
202412,음식,10750
202412,쇼핑,2208
202412,역사관광,4490
202412,자연관광,1144
202412,체험관광,1280
202412,레저스포츠,5411
