거리구분명,방문자수,방문자비율
30km 미만,3144081.0,24.17
30km 이상 70km 미만,6496265.0,49.94
70km 이상 140km 미만 ,1474212.0,11.33
140km 이상 190km 미만,360169.0,2.77
190km 이상 240km 미만,520629.0,4.0
240km 이상 ,1012560.0,7.78
