거주지명,광역지자체 비율(%),기초지자체 비율(%)
대구광역시 군위군,32.5,0.733
대구광역시 남구,32.5,1.417
대구광역시 동구,32.5,8.455
대구광역시 수성구,32.5,6.344
대구광역시 달서구,32.5,5.133
대구광역시 달성군,32.5,2.242
대구광역시 북구,32.5,5.69
대구광역시 서구,32.5,1.494
대구광역시 중구,32.5,1.144
경상북도 경주시,31.8,4.927
경상북도 김천시,31.8,0.378
경상북도 안동시,31.8,0.686
경상북도 구미시,31.8,1.791
경상북도 영주시,31.8,0.274
경상북도 상주시,31.8,0.282
경상북도 문경시,31.8,0.165
경상북도 경산시,31.8,12.905
경상북도 의성군,31.8,0.432
경상북도 청송군,31.8,0.831
경상북도 영양군,31.8,0.082
경상북도 영덕군,31.8,0.241
경상북도 청도군,31.8,0.316
경상북도 고령군,31.8,0.192
경상북도 성주군,31.8,0.221
경상북도 칠곡군,31.8,0.756
경상북도 예천군,31.8,0.234
경상북도 봉화군,31.8,0.057
경상북도 울진군,31.8,0.213
경상북도 울릉군,31.8,0.088
경상북도 포항시 남구,31.8,2.898
경상북도 포항시 북구,31.8,3.751
경기도 고양시 덕양구,4.9,0.135
경기도 고양시 일산동구,4.9,0.072
경기도 고양시 일산서구,4.9,0.061
경기도 성남시 수정구,4.9,0.073
경기도 성남시 중원구,4.9,0.07
경기도 성남시 분당구,4.9,0.201
경기도 수원시 장안구,4.9,0.081
경기도 수원시 권선구,4.9,0.142
경기도 수원시 팔달구,4.9,0.075
경기도 수원시 영통구,4.9,0.136
경기도 안산시 상록구,4.9,0.09
경기도 의정부시,4.9,0.119
경기도 안산시 단원구,4.9,0.102
경기도 안양시 만안구,4.9,0.067
경기도 부천시,4.9,0.189
경기도 광명시,4.9,0.065
경기도 평택시,4.9,0.299
경기도 동두천시,4.9,0.025
경기도 안양시 동안구,4.9,0.107
경기도 용인시 처인구,4.9,0.121
경기도 용인시 기흥구,4.9,0.194
경기도 용인시 수지구,4.9,0.141
경기도 과천시,4.9,0.031
경기도 구리시,4.9,0.063
경기도 남양주시,4.9,0.23
경기도 오산시,4.9,0.104
경기도 시흥시,4.9,0.157
경기도 군포시,4.9,0.085
경기도 의왕시,4.9,0.048
경기도 하남시,4.9,0.113
경기도 파주시,4.9,0.122
경기도 이천시,4.9,0.102
경기도 안성시,4.9,0.084
경기도 김포시,4.9,0.14
경기도 화성시,4.9,0.409
경기도 광주시,4.9,0.213
경기도 양주시,4.9,0.092
경기도 포천시,4.9,0.061
경기도 여주시,4.9,0.055
경기도 연천군,4.9,0.013
경기도 가평군,4.9,0.021
경기도 양평군,4.9,0.045
경기도 부천시 원미구,4.9,0.1
경기도 부천시 소사구,4.9,0.057
경기도 부천시 오정구,4.9,0.032
울산광역시 남구,4.4,1.055
울산광역시 동구,4.4,0.592
울산광역시 북구,4.4,1.125
울산광역시 울주군,4.4,0.853
울산광역시 중구,4.4,0.748
부산광역시 강서구,4.0,0.174
부산광역시 영도구,4.0,0.098
부산광역시 부산진구,4.0,0.377
부산광역시 동래구,4.0,0.369
부산광역시 해운대구,4.0,0.526
부산광역시 사하구,4.0,0.293
부산광역시 금정구,4.0,0.319
부산광역시 남구,4.0,0.331
부산광역시 연제구,4.0,0.265
부산광역시 수영구,4.0,0.221
부산광역시 사상구,4.0,0.223
부산광역시 기장군,4.0,0.282
부산광역시 동구,4.0,0.087
부산광역시 북구,4.0,0.331
부산광역시 서구,4.0,0.09
부산광역시 중구,4.0,0.05
경상남도 고성군,3.2,0.028
경상남도 창원시 의창구,3.2,0.202
경상남도 창원시 성산구,3.2,0.194
경상남도 창원시 마산합포구,3.2,0.109
경상남도 창원시 마산회원구,3.2,0.13
경상남도 창원시 진해구,3.2,0.154
경상남도 진주시,3.2,0.171
경상남도 통영시,3.2,0.049
경상남도 사천시,3.2,0.067
경상남도 김해시,3.2,0.574
경상남도 밀양시,3.2,0.173
경상남도 거제시,3.2,0.207
경상남도 양산시,3.2,0.675
경상남도 의령군,3.2,0.026
경상남도 함안군,3.2,0.071
경상남도 창녕군,3.2,0.101
경상남도 남해군,3.2,0.017
경상남도 하동군,3.2,0.015
경상남도 산청군,3.2,0.027
경상남도 함양군,3.2,0.039
경상남도 거창군,3.2,0.082
경상남도 합천군,3.2,0.07
서울특별시 종로구,3.0,0.052
서울특별시 강서구,3.0,0.155
서울특별시 용산구,3.0,0.066
서울특별시 성동구,3.0,0.093
서울특별시 광진구,3.0,0.121
서울특별시 동대문구,3.0,0.122
서울특별시 중랑구,3.0,0.092
서울특별시 성북구,3.0,0.12
서울특별시 강북구,3.0,0.054
서울특별시 도봉구,3.0,0.064
서울특별시 노원구,3.0,0.168
서울특별시 은평구,3.0,0.12
서울특별시 서대문구,3.0,0.099
서울특별시 마포구,3.0,0.126
서울특별시 양천구,3.0,0.1
서울특별시 구로구,3.0,0.114
서울특별시 금천구,3.0,0.071
서울특별시 영등포구,3.0,0.142
서울특별시 동작구,3.0,0.136
서울특별시 관악구,3.0,0.198
서울특별시 서초구,3.0,0.133
서울특별시 강남구,3.0,0.189
서울특별시 송파구,3.0,0.233
서울특별시 강동구,3.0,0.15
서울특별시 중구,3.0,0.04
충청북도 충주시,1.0,0.153
충청북도 제천시,1.0,0.073
충청북도 보은군,1.0,0.029
충청북도 옥천군,1.0,0.042
충청북도 영동군,1.0,0.052
충청북도 증평군,1.0,0.034
충청북도 진천군,1.0,0.077
충청북도 괴산군,1.0,0.025
충청북도 음성군,1.0,0.086
충청북도 단양군,1.0,0.023
충청북도 청주시 상당구,1.0,0.077
충청북도 청주시 서원구,1.0,0.098
충청북도 청주시 흥덕구,1.0,0.141
